	Lektion 1
		Verben
arbeiten|to work
schlank|slim
stark|strong
süß|sweet
trocken|dry
typisch|typical
warm|warm
wichtig|important

		Adverbien
abends|at evening
arn liebsten|arn dearest
besonders|particularly
danach|thereafter
dann|then
fast|nearly
ganz|quite
genug|enough
gern|gladly
getrennt|separated
lieber|Dear
manchmal|sometimes
mittags|at noon
morgens|In the morning
nachmittags|afternoon
natürlich|naturally
nur|only
oben|above
oft|often
sofort|immediately
überall|everywhere
unten|below
verschieden|different
vor allem|above all
vorwiegend|predominantly
zuerst|first
zusammen|together

		Funktionswörter
alle|all
als|as
etwas|something
jeder|everyone
mit|with
pro Person|per person
pro Jahr|per year
viel|much
viele|many
welcher|which
zu|to

		Ausdrücke
Das macht 25 Euro|That's 25 euros
Schmeckt der Fisch?|Does the fish taste good?
es gibt|there are
Stimmt so.|Keep the change.

		Abkürzungen
g - das Gramm|g - the gram
kg - das Kilogramm|kg - the kilogram


	Lektion 4
		Verben
anfangen|to begin
anziehen|to put on
aufhören|to stop
aufmachen|to open up
aufräumen|to clean up
aufstehen|to stand up
bedienen|to serve
beschreiben|to describe
bringen|to bring
dürfen|to may
duschen|to have a shower
einkaufen|to shopping
einladen|to invite
feiern|to celebrate
fernsehen|to TV
fotografieren|to taking photos
frühstücken|to have breakfast
holen|to fetch
kontrollieren|to check
können|to can
messen|to measure
mitbringen|to bring along
mitkommen|to come along
müssen|to must
ordnen|to arrange
rauchen|to smoke
schlafen|to sleep
schneiden|to cut
schwimmen|to to swim
sehen|to see
spazieren gehen|to go for a stroll
stattfinden|to take place
stören|to disturb
tanzen|to dance
treffen|to meet
vergessen|to forget
vergleichen|to compare
vorbereiten|to prepare
vorhaben|to plan
zeichnen|to draw
zuhören|to listen

		Nomen
der Abend; -e|evenings
die Ansichtskarte; -n|postcard
die Arbeit; -en|work
der Ausflug; Ausflüge|excursion
der Bäcker|Baker
die Bank; -en|banks
die Bar; -s|bars
die Bibliothek; -en|libraries
das Buch; Bücher|book
das Cafe; -s|cafe
die Diskothek; -en|discotheque
der Donnerstag; -e|Thursday
die Dusche; -n|showers
der Eintritt|entry
das Essen|food
das Fernsehen|television
das Fieber|fever
der Film; -e|film
der Freitag; -e|Friday
die Freizeit|free time
die Friseurin; -nen|hairdresser
der Friseur; -e|hairdresser
der Gast; Gäste|guest
der Gruß; Grüße|greetings
der Juli|July
der Kellner; -|waiter
die Kellnerin; -nen|waiter
das Kino; -s|film
das Kleid; -er|dress
das Konzert; -e|concert
das Krankenhaus; Krankenhäuser|hospital
die Krankenschwester; -n|nurse
der Lehrer; -|teacher
die Lehrerin; -nen|teacher
die Mannschaft; -en|team
die Maschine; -n|machine
das Meer; -e|sea
der Mensch; -en|human being
der Mittag; -e|midday
das Mittagessen; -|lunch
der Mittwoch; -e|Wednesday
der Montag; -e|Monday
die Musik|music
der Passagier; -e|passenger
die Pause; -n|break
das Restaurant; -s|restaurant
der Samstag; -e|Saturday
der Satz; Sätze|sentence
das Schild; -er|shield
das Schwimmbad; -bäder|pool
die Situation; -en|situation
der Sonnabend; -e|Saturday
der Sonntag; -e|Sunday
der Spaziergang; -gänge|walk
der Tanz; Tänze|dance
die Torte; -n|pie
die Uhrzeit; -en|time
der Verband; Verbände|association
das Viertel; -|quarter
der Vortrag; Vorträge|presentation
die Wohnung; -en|apartment
die Zeitung; -en|newspaper
die Zigarette; -n|cigarette

		Adjektive
geöffnet|open
geschlossen|closed
herrlich|splendid
leise|quiet
nächst­|next
nett|kind
obligatorisch|mandatory
spät|late
verboten|forbidden

		Adverbien
heute|today
immer|always
meistens|mostly
morgen|morning
nie|never
vielleicht|perhaps

		Funktionswörter
auf|on
von ... bis|from to
bis|until
wann?|When?
gegen|against
warum?|Why?
jemand|someone
wie lange?|how long?
nach|after
zwischen|between

		Ausdrücke
Achtung!|Danger!
Betten machen|make beds
Bisdann! Also|See you then! So
dann!|then!
das nächste Mal|next time
ein Sonnenbad|a sunbath
nehmen|take
frei haben|have free
herzliche Grüße|Best regards
Leid tun|To hurt
lieber/liebe/liebes ...|dear/dear/dear...
Lust haben|to feel like
morgen früh|tomorrow morning
Pause machen|take a break
Rad fahren|ride a bike
Schön.|Nice.
Tschüs!|Bye!
Na gut.|All right.
Wie spät ist es?|What time is it?


	Lektion 5
		Verben
anrufen|to call
aussehen|to look
baden|to bathe
bauen|to build
buchen|to book
diskutieren|to discuss
einziehen|to move in
finden|to find
herstellen|to produce
informieren|to inform
leihen|to lend
liegen|to lay
suchen|to seek
tun|to do
umziehen|to move
verbieten|to forbid
verdienen|to earn
wollen|to want

		Nomen
das Appartement; -s|apartment
der Aufzug; Aufzüge|elevator
das Bad; Bäder|bathroom
der Balkon; -e/s|balcony
das Dach; Dächer|roof
das Ehepaar; -e|couple
das Einkommen; ­|income
das Ende|end
das Erdgeschoss; -e|ground floor
die Erlaubnis|permission
die Familie; -n|families
das Fenster; ­|window
der Flur; -e|hallway
der Fußboden; Fußböden|floor
die Garage; -n|garage
die Garderobe; -n|wardrobe
der Garten; Gärten|garden
das Hochhaus; Hochhäuser|high-rise
der Hof; Höfe|yard
das Hotel; -s|hotel
die Industrie; -n|industry
die Insel; -n|islands
der Keller; ­|cellar
der Kiosk; -e|kiosk
der Kornfort|grain fort
der Krach|noise
der Lärm|noise
das Leben; -|life
die Miete; -n|rent
der Mietvertrag; -verträge|rental agreement
die Mutter; Mütter|mother
der Nachbar; -n|neighbour
die Natur|nature
der Quadratmeter; -|square meter
der Raum; Räume|space
das Reisebüro; -s|travel agency
die Rezeption|reception
die Ruhe|calm
das Schlafzimmer; -|bedroom
der Schreibtisch; -e|desk
der Sessel; -|armchair
die Sonne; -n|Suns
der Spiegel; -|mirror
der Stock|stick
der Strand; Strände|beach
der Streit; Streitigkeiten|dispute
die Stunde; -n|hours
die Telefonzelle; -n|telephone booth
der Teppich; -e|carpet
die Terrasse; -n|terrace
die Toilette; -n|toilets
der Urlaub|holidays
das Urteil; -e|verdict
der Vermieter; ­|landlord
der Vogel; Vögel|bird
der Vorhang; Vorhänge|curtain
der Wagen|car
der Wald; Wälder|forest
die Ware; -n|goods
das WC; -s|toilet
die Wiese; -n|meadow
die Woche; -n|weeks
das Wohnzimmer; ­|living room
das Zimmer; ­|room

		Adjektive
direkt|direct
frei|free
glücklich|happy
günstig|cheap
hässlich|ugly
interessant|Interesting
privat|Private
ruhig|quiet
sauber|clean
schlecht|bad
schön|nice
teuer|expensive
zufrieden|satisfied

		Adverbien
außerhalb|outside
bald|soon
draußen|outside
endlich|finally
nachts|at night
sogar|even
vorher|previously
ziemlich|quite

		Funktionswörter
ab|away
alles|everything
an|at
auf|on
beide, beides|both
für|for
garnicht|not at all
in|in
niemand|no one
ohne|without
trotzdem|despite it
unser|our
was für?|what kind of?
zu|to

		Ausdrücke und Abkürzungen
Glück haben|to be lucky
Guck/schau mal|Look/look
m2|m2
okay|OK
genug Platz haben|have enough space
Ruhe finden|find silence
zu Hause|at home
Mietvertrag 5 Jahre fest|Rental contract for 5 years


	Lektion 6
		Verben
aufwachen|to wake up
bedeuten|to mean
besuchen|to visit
bleiben|to remain
dauern|to last
einpacken|to wrap up
einschlafen|to fall asleep
erkältet sein|to to have a cold
gehen|to go
helfen|to help
hinfallen|to falling down
klingeln|to ring
mitnehmen|to take along
packen|to pack
passieren|to happen
Recht haben|to to be right
sollen|to should
stehen|to stand
tun|to do
verstehen|to understand
wehtun|to hurt

		Nomen
die Angst; Ängste|fear
die Apotheke; -n|pharmacy
die Ärztin; -nen|doctors
der Arzt; Ärzte|doctor
das Auge; -n|eye
der Bahnhof; Bahnhöfe|train station
der Bauch; Bäuche|stomach
das Bein; -e|legs
das Beispiel; -e|example
die Brust|breast
die Chefin; -nen|boss
der Chef; -s|boss
der Doktor; -en; Dr. = Doktor|doctor
das Drittel|a third
die Drogerie; -n|drugstore
die Erkältung; -en|cold
die Frage; -n|questions
der Fuß; Füße|foot
der Fußball; Fußbälle|football
die Geschichte; -n|stories
die Gesundheit|health
das Grad; -e|degree
die Grippe|flu
der Hals; Hälse|neck
die Hand; Hände|hand
der Handschuh; -e|glove
der Husten|cough
das Knie; ­|knee
der Koffer; ­|suitcase
die Kollegin; -nen|colleagues
der Kollege; -n|colleague
der Konflikt; -e|conflict
der Kopf; Köpfe|head
die Krankenversicherungskarte; - karten|health insurance card
die Chip-Karte|chip card
die Krankheit; -en|diseases
das Licht|light
die Luft|air
der Magen; Mägen|stomach
das Medikament; -e|medication
der Mund; Münder|mouth
die Mütze; -n|caps
die Nacht; Nächte|night
die Nase; -n|noses
das Obst|fruit
das Papier|paper
die Pflanze; -n|plants
das Pflaster; -|patch
der Pullover; -|sweater
der Rat; Ratschläge|advice
der Rücken; -|back
der Schmerz; -en|pain
der Schnupfen|cold
das Spiel; -e|games
der Sport|sport
die Sprechstunde; -n|consultation hours
die Tablette; -n|tablets
das Thema; Themen|topic
der Tip; -s|tip
der Tropfen; ­|drop
das Verbandszeug|first aid kid
die Verstopfung; -en|constipation
der Wecker; ­|alarm clock
das Wochenende; -n|weekend
der Zahn; Zähne|tooth

		Adjektive
arm|poor
dick|thick
erkältet|catches
gebrochen|Broken
gefährlich|dangerous
gesund|healthy
gleich|even
heiß|hot
krank|sick
kühl|cool
müde|tired
nervös|nervous
reich|rich
schlimm|terrible
schwer|difficult
vorsichtig|cautious

		Adverbien
bestimmt|certainly
bloß|just
einmal|once
genau|Exactly
häufig|frequently
höchstens|at most
lange|long
plötzlich|suddenly
täglich|daily
unbedingt|absolutely
wirklich|really

		Funktionswörter
andere|other
so viel|so much
über|above

		Ausdrücke
ein bisschen|a little bit
Sport treiben|to do sports
zum Beispiel|for example


	Lektion 7
		Verben
abfahren|to depart
abholen|to pick up
abstellen (ausmachen)|to turn off
ansehen|to view
anstellen|to hire
ausmachen|to turn off
aussteigen|to exit
ausziehen|to get undressed
einsteigen|to get in
fallen|to fall
geben|to give
gewinnen|to win
gießen|to pour
heiraten|to marry
kennen lernen|to get to know
kündigen|to quit
lassen|to let
malen|to to paint
merken|to notice
operieren|to operate
parken|to park
putzen|to cleaning
rufen|to call
sitzen|to sit
telefonieren|to make a phone call
tragen|to carry
überlegen|to superior
umziehen|to move
vorbeikommen|to come round
wecken|to wake up
wegfahren|to drive away

		Nomen
die Adresse; -n|addresses
der April|April
der August|August
die Autobahn; -en|highway
die Bank; Bänke|bench
der Bericht; -e|report
der Besuch; -e|visit
die Blume; -n|flowers
der Boden; Böden|ground
der Brief; -e|letter
das Büro; -s|office
die Decke; -n|covers
der Dezember|December
das Fahrrad; Fahrräder|bike
die Farbe; -n|color
der Februar|February
die Freundin; -nen|friends
der Freund; -e|friends
die Haltestelle; -n|busstops
der Handwerker; ­|craftsman
die Heizung; -en|heating
die Jacke; -n|jackets
der Januar|January
der Juni|June
der Juli|July
die Katze; -n|cats
der Kindergarten; -gärten|kindergarten and gardens
der Knopf; Knöpfe|button
das Loch; Löcher|hole
das Mädchen|girl
der Mai|May
der Maler; ­|painter
der Mann; Männer|man
der März|March
die Möglichkeit; -en|possibilities
der November|November
der Oktober|October
der Parkplatz; -plätze|parking lot
das Pech|bad luck
die Polizei|police
die Polizistin; -nen|policewoman
der Polizist; -en|policeman
die Prüfung; -en|exams
die Reise; -n|travels
die Sache; -n|thing
die Schule; -n|schools
der September|September
die Stadt; Städte|city
der Supermarkt; -märkte|supermarket
das Theater; -|theater
die Treppe; -n|stairs
die Tür; -en|doors
der Unfall; Unfälle|accident
der Vater; Väter|father
die Wand; Wände|wall
die Welt; -en|worlds
die Weltreise|world Tour

		Adjektive
falsch|incorrect
schrecklieh|terrible
still|quiet

		Adverbien
allein|alone
auf einmal|at once
außerdem|aside from that
diesmal|this time
einfach|simply
gerade|straight
gestern|yesterday
letztes|last
selbstverständlich|of course
wieder|again
wohl|probably

		Ausdrücke
Besuch haben|have visitors
Bis bald!|See you soon!
da sein|to be there
ein paar|a couple
Grüß dich!|Howdy!
Klar!|Clear!
nach Hause|home
Pech haben|be unlucky
verabredet sein|have an appointment
weg sein|be away


	Lektion 8
		Verben
abheben|to lift up
besorgen|to obtain
einzahlen|to deposit
erledigen|to complete
fehlen|to miss
fliegen|to fly
kaufen|to buy
legen|to place
reinigen|to clean
reparieren|to repair
schicken|to send
stehen|to stand
stellen|to place
übernachten|to stay overnight
verwenden|to use
wechseln|to change
ziehen|to pull
zurückgeben|to hand back

		Nomen
die Abfahrt|farewell
die Auskunft; Auskünfte|information
die Bäckerei; -en|bakeries
die Bahn|train
das Brandenburger Tor|Brandenburg Gate
die Briefmarke; -n|stamps
die Buchhandlung; -en|bookstore
der Bürger; ­|citizen
der Bus; -se|bus
das Ding; -e|thing
die Ecke; -n|corners
die/der Erwachsene; -n (ein Erwachsener)|adult
(das) Europa|Europe
die Fahrkarte; -n|tickets
der Fahrplan; -pläne|timetable
die Fahrt; -en|rides
der Fernsehturm; -türme|television tower
der Flughafen; -häfen|airport
das Flugzeug; -e|plane
die Freiheit; -en|freedom
das Gebäude; ­|building
das Interesse; -n|interest
der Journalist; -en|journalist
die/der Jugendliche; -n (ein Jugendlicher)|young person
die Kirche; -n|churches
die Kleidung; ­|clothing
der Krieg; -e|war
der Künstler; ­|artist
der Mantel; Mäntel|coat
die Mauer; -n|walls
die Metzgerei; -en|butcher shop
die Mitte|middle
das Museum; Museen|museum
der Norden|North
die Oper; -n|opera
der Osten|East
das Paket; -e|package
der Park; -s|park
der Pass; Pässe|passport
der Platz; Plätze|place
die Post|post
das Rathaus; -häuser|town hall
die Reinigung; -en|cleaning
der Rest; -e|rest
der Schalter; ­|switch
der See; -n|lake
der Sohn; Söhne|son
die Staatsoper|State Opera
der Stadtplan; -pläne|city map
der Süden|South
der Teil; -e|Of the parts
das Tor; -e|gate
der Turm; Türnle|tower
die Universität; -en|universities
die Wahl; -en|elections
der Weg; -e|way
der Westen|West
das Zentrum; Zentren|center

		Adjektive
arbeitslos|unemployed
berühmt|famous
deutsch|German
früher|earlier
sozial|social
voll|full

		Adverbien
anders|different
geradeaus|straight ahead
links|Left
rechts|right
völlig|fully
weiter|further

		Funktionswörter
bis zu|up to
so ... wie ...|as well as ...
über ... nach ...|about... to...
von ... nach|from

		Ausdrücke
Gehen Sie weiter|Go ahead
geradeaus.|straight ahead.
zum Schluss|at the end


	Lektion 9
		Verben
beraten|to advise
erklären|to explain
sich freuen|to rejoice
gebrauchen|to use
gefallen|to fallen
lachen|to laugh
laufen|to run
lieben|to love
nennen|to to name
passen|to fit
reichen|to are sufficient
schenken|to give
tragen|to carry
verkaufen|to sell
verlassen|to leave
zeigen|to show
zusammengehören|to belong together

		Nomen
der Abschnitt; -e|section
die/der Bekannte; -n (ein Bekannter)|acquaintance
die Beschäftigung; -en|employment
das Camping|camping
die CD; CDs|CD
die Chance; -n|chance
der Computer|computer
die Datei; -en|files
der Discman|Discman
der DVD-Player|DVD player
die Erinnerung; -en|memories
die Feier; -n|they celebrate
der Fernseher; ­|television
das Feuerzeug; -e|lighter
der Führerschein; -e|driving license
der Geburtstag; -e|birthday
das Gerät; -e|Device
die Handtasche; -n|handbag
die Hilfe; -n|help
das Holz|wood
das Huhn; Hühner|chicken
der Hund; -e|dog
die Information; -en|information
die Ingenieurin; -nen|engineer
der Ingenieur; -e|engineer
die Kette; -n|chains
der König; -e|king
die Kuh; Kühe|cow
der Kunde; -n|customer
Möbel (Plural)|furniture
das Motorrad; -räder|motorcycle
die Musikdatei|music file
die Party; -s|partys
die Pfeife; -n|pipe
das Pferd; -e|horses
das Rad; Räder|wheel
der Reiseführer; ­|travel guide
der Ring; -e|Rings
der Schlafsack; -säcke|sleeping bag
der Schluss|end
der Schmuck|jewelry
der Strom; Ströme|stream
die Tante; -n|aunts
das Tier; -e|animal
die Verkäuferin; -nen|saleswoman
der Verkäufer; -|seller
VideoPhone|VideoPhone
(das) Weihnachten|Christmas
das Werkzeug|tool
das Wörterbuch; -bücher|dictionary
der Wunsch; Wünsche|wish
das Zelt; -e|tent

		Adjektive
breit|broad
dünn|thin
kurz|short
lang|long
langsam|slow
lebendig|lively
niedrig|low
richtig|correct
schmal|narrow
schnell|fast
wunderbar|wonderful

		Adverb
irgendwann|sometime

		Funktionswörter
deshalb|for this reason
selber|himself

		Ausdrücke
gefällt mir|i like it
zu Ende (+Verb)|to the end


	Lektion 10
		Verben
berichten|to to report
besichtigen|to view
bestehen (aus)|to consist of
erfinden|to invent
fließen|to flow
gehören|to belong
wachsen|to grow
wählen|to choose
wandern|to hike

		Nomen
die Arbeit; -en|work
das Ausland|foreign country
der Bach; Bäche|stream
der Bau|construction
die Beamtin; -nen|officer
der Beamte; -n (ein Beamter)|official
der Berg; -e|mountains
die Brücke; -n|bridges
das Datum; Daten|date
das Denkmal; Denkmäler|monument
der Dialekt; -e|dialect
das Elektrogerät; -e|electrical device
das Ende; -en|end
die Firma; Firmen|company
der Fluss; Flüsse|river
das Gasthaus; -häuser|inn
das Gebiet; -e|area
die Grenze; -n|limits
der Hafen; Häfen|port
das Jahrhundert; -e|century
der Kilometer; -|kilometre
die Kirche; -n|churches
die Kneipe; -n|bars
die Küste; -n|coasts
Lebensmittel (Plural)|food
der Meter; -|meter
die Ministerin|minister
der Minister; -|minister
die Nation; -en|nation
die Pension; -en|guesthouse
die Politikerin; -nen|politician
der Politiker; -|politician
die Ruine; -n|ruins
die Schauspielerin; -nen|actresses
der Schauspieler; -|actor
die Schriftstellerin; -nen|writer
der Schriftsteller; -|writer
die Sehenswürdigkeit; -en|sight
der Sitz; -e|seat
die Sprache; -n|languages
der Staat; -en|state
das Studium|study
der Tod|death
die Touristin; -nen|tourist
der Tourist; -en|tourist
das Werk; -e|work
das Zentrum; Zentren|center

		Adjektive
blau|blue
endgültig|finally
fertig|complete
international|international
offiziell|officially
tief|deep

		Adverbien
damals|at that time
daher|therefore

		Funktionswörter
darin|in this

		Ausdrücke
Passen Sie auf!|Pay attention!
das erste Mal|first time
