org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct:

	Lektion 1
		Verben
arbeiten | to work | працювати
auf | on; onto | на
von ... bis | from ... to | від ... до
bis | until | до
wann? | when? | коли?
gegen | against | проти
warum? | why? | чому?
jemand | someone; somebody | хтось
wie lange? | how long? | як довго?
nach | after | після
zwischen | between | між
		Ausdrücke
Achtung! | Attention! | Увага!
Betten machen | to make beds | застеляти ліжка
Bisdann! Also | See you later! | До зустрічі пізніше!; До побачення!
dann! | Well then! | Ну, отже!; Ну добре!
das nächste Mal | then! | отже!; тоді!
ein Sonnenbad | next time | наступний раз; наступного разу
nehmen | sunbathing | засмагати; приймати сонячні ванни
frei haben | to have time off; to be free | мати вільний час; бути вільним
herzliche Grüße | best regards | найкращі побажання; сердечні вітання
Leid tun | to be sorry | вибачатися; шкодувати
lieber/liebe/liebes ... | dear... | дорогий...; дорога...; дороге...
Lust haben | to feel like; to want | мати бажання; мати настрій
morgen früh | tomorrow morning | завтра вранці; завтра зранку
Pause machen | to take a break | робити перерву
Rad fahren | to ride a bike | кататися на велосипеді; їздити на велосипеді
Schön. | Nice. | Гарно. ; Чудово.
Tschüs! | Goodbye! | До побачення!; Пока!
Na gut. | All right then. | Ну добре. ; Отже, добре.
Wie spät ist es? | What time is it? | Котра година?; Скільки годин?
	Lektion 5
		Verben
anrufen | to call; to phone | дзвонити; телефонувати
aussehen | to look; to appear | виглядати; здаватися
baden | to bathe; to swim | купатися; бити
bauen | to build; to construct | будувати; конструювати
buchen | to book; to reserve | бронювати; замовляти
diskutieren | to discuss; to debate | обговорювати; дискутувати
einziehen | to move in; to settle | в'їжджати; заселятися
finden | to find; to discover | знаходити; виявляти
herstellen | to produce; to manufacture | виробляти; виготовляти
informieren | to inform; to notify | інформувати; повідомляти
leihen | to lend; to borrow | позичати; взяти у позику
liegen | to lie; to be located | лежати; знаходитися
suchen | to search; to look for | шукати; пошуково
tun | to do; to perform | робити; виконувати
umziehen | to move out; to relocate | виїжджати; переїжджати
verbieten | to forbid; to prohibit | забороняти; заборонити
verdienen | to earn; to make | заробляти; вибирати
wollen | to want; to desire | хотіти; бажати
		Nomen
das Appartement; -s | apartment; flat | квартира; апартаменти
der Aufzug; Aufzüge | elevator; lift | ліфт; підйомник
das Bad; Bäder | bath | ванна
der Balkon; -e/s | balcony | балкон
das Dach; Dächer | roof | дах
das Ehepaar; -e | married couple | подружжя
das Einkommen; ­ | income | дохід
das Ende | end | кінець
das Erdgeschoss; -e | ground floor | перший поверх
die Erlaubnis | permission; permit | дозвіл
die Familie; -n | family | сім'я
das Fenster; ­ | window | вікно
der Flur; -e | corridor; hallway | коридор; хол
der Fußboden; Fußböden | floor | підлога; поверх
die Garage; -n | garage | гараж
die Garderobe; -n | cloakroom | гардероб
der Garten; Gärten | garden | сад
das Hochhaus; Hochhäuser | skyscraper | хмарочос
der Hof; Höfe | yard; courtyard | двір; подвір'я
das Hotel; -s | hotel | готель
die Industrie; -n | industry | промисловість
die Insel; -n | island | острів
der Keller; ­ | basement | підвал
der Kiosk; -e | kiosk | кіоск
der Kornfort | cornfield | кукурудзяне поле
der Krach | noise | шум
der Lärm | noise | шум
das Leben; - | life | життя
die Miete; -n | rent | оренда
der Mietvertrag; -verträge | lease agreement | договір оренди
die Mutter; Mütter | mother | мати
der Nachbar; -n | neighbour | сусід
die Natur | nature | природа
der Quadratmeter; - | square meter | квадратний метр
der Raum; Räume | room; space | кімната; простір
das Reisebüro; -s | travel agency | турагентство
die Rezeption | reception | рецепція
die Ruhe | calmness; peace and quiet | спокій; тиша
das Schlafzimmer; - | bedroom | спальня
der Schreibtisch; -e | desk | письмовий стіл
der Sessel; - | armchair | крісло
die Sonne; -n | sun | сонце
der Spiegel; - | mirror | дзеркало
der Stock | floor; story | поверх
der Strand; Strände | beach | пляж
der Streit; Streitigkeiten | argument; quarrel | сварка; конфлікт
die Stunde; -n | hour | година
die Telefonzelle; -n | telephone booth | телефонна будка
der Teppich; -e | carpet | килим
die Terrasse; -n | terrace | тераса
die Toilette; -n | toilet; bathroom | туалет; ванна
der Urlaub | vacation; holiday | відпустка; канікули
das Urteil; -e | judgment; verdict | вирок; судове рішення
der Vermieter; ­ | landlord | власник; господар
der Vogel; Vögel | bird | птах
der Vorhang; Vorhänge | curtain | занавіска
der Wagen | car | автомобіль
der Wald; Wälder | forest | ліс
die Ware; -n | goods; merchandise | товари
das WC; -s | toilet | туалет
die Wiese; -n | meadow | лука
die Woche; -n | week | тиждень
das Wohnzimmer; ­ | living room | вітальня
das Zimmer; ­ | room | кімната
		Adjektive
direkt | direct | прямий; безпосередній
frei | free | вільний; безкоштовний
glücklich | happy | щасливий; радісний
günstig | favourable; cheap | вигідний; дешевий
hässlich | ugly | потворний; непривабливий
interessant | interesting | цікавий; захоплюючий
privat | private | приватний; особистий
ruhig | quiet | тихий; спокійний
sauber | clean | чистий; охайний
schlecht | bad | поганий; неприємний
schön | beautiful | красивий; прекрасний
teuer | expensive | дорогий; коштовний
zufrieden | satisfied | задоволений; згодний
		Adverbien
außerhalb | outside; outdoors | зовні; на вулиці
bald | soon | незабаром; скоро
draußen | outside | зовні; на вулиці
endlich | finally | нарешті; в кінці-кінців
nachts | at night; during the night | вночі; під час ночі
sogar | even; still | навіть; все ще
vorher | before; previously | перед; до цього
ziemlich | quite; fairly | досить; доволі
		Funktionswörter
ab | from; off | від; з
alles | everything; all | все; всі
an | on; at | на; при
auf | on; to | на; до
beide, beides | both | обидва; обидві
für | for; to | для; до
garnicht | not at all | зовсім не; жодний
in | in; inside | у; всередині
niemand | nobody; no one | ніхто
ohne | without | без
trotzdem | nevertheless | проте; але
unser | our | наш; наші
was für? | what kind of? | який?; яка?; яке?
zu | to; at | до; на
		Ausdrücke und Abkürzungen
Glück haben | to be lucky | мати щастя
Guck/schau mal | look | подивись; подивіться
m2 | square meters | квадратні метри
okay | okay | добре; все гаразд
genug Platz haben | to have enough space | мати достатньо місця
Ruhe finden | to find peace and quiet | знайти спокій
zu Hause | at home | вдома
Mietvertrag 5 Jahre fest | lease agreement for 5 years | договір оренди на 5 років
	Lektion 6
		Verben
aufwachen | wake up; awaken | прокидатися; прокинутися
bedeuten | mean; signify | означати; значити
besuchen | visit | відвідувати
bleiben | stay; remain | залишатися; залишитися
dauern | last; endure | тривати; продовжуватися
einpacken | pack | пакувати
einschlafen | fall asleep | засинати; залишатися спати
erkältet sein | be cold; have a cold | бути застудженим; хворіти на застуду
gehen | go; walk | йти; ходити
helfen | help | допомагати
hinfallen | fall down | впасти; падати
klingeln | ring | дзвонити
mitnehmen | take along; bring along | брати з собою; взяти з собою
packen | pack | пакувати
passieren | happen; occur | відбуватися; траплятися
Recht haben | be right | мати рацію; бути правильним
sollen | should; ought to | повинен; має
stehen | stand | стояти
tun | do | робити; зробити
verstehen | understand | розуміти
wehtun | hurt | боліти; травмувати
		Nomen
die Angst; Ängste | fear | страх
die Apotheke; -n | pharmacy | аптека
die Ärztin; -nen | doctor (female) | лікарка
der Arzt; Ärzte | doctor (male) | лікар
das Auge; -n | eye | око
der Bahnhof; Bahnhöfe | train station | залізничний вокзал
der Bauch; Bäuche | stomach; belly | живіт
das Bein; -e | leg | нога
das Beispiel; -e | example | приклад
die Brust | chest; breast | груди
die Chefin; -nen | female boss | начальниця
der Chef; -s | male boss | начальник
der Doktor; -en; Dr. = Doktor | doctor; physician | лікар
das Drittel | third (part) | третина
die Drogerie; -n | drugstore | аптека
die Erkältung; -en | cold; common cold | застуда
die Frage; -n | question | питання
der Fuß; Füße | foot | нога; стопа
der Fußball; Fußbälle | football | футбол
die Geschichte; -n | history; story | історія
die Gesundheit | health | здоров'я
das Grad; -e | degree | ступінь; градус
die Grippe | flu | грип
der Hals; Hälse | throat; neck | горло; шия
die Hand; Hände | hand | рука
der Handschuh; -e | glove | рукавичка
der Husten | cough | кашель
das Knie; ­ | knee | коліно
der Koffer; ­ | suitcase | валіза
die Kollegin; -nen | female colleague | колега
der Kollege; -n | male colleague | колега
der Konflikt; -e | conflict | конфлікт
der Kopf; Köpfe | head | голова
die Krankenversicherungskarte; - karten | health insurance card | картка медичного страхування
die Chip-Karte | chip card | чип-карта
die Krankheit; -en | illness | хвороба
das Licht | light | світло
die Luft | air | повітря
der Magen; Mägen | stomach | шлунок
das Medikament; -e | medicine | ліки; медикамент
der Mund; Münder | mouth | рот
die Mütze; -n | cap; hat | шапка
die Nacht; Nächte | night | ніч
die Nase; -n | nose | ніс
das Obst | fruit | фрукт
das Papier | paper | папір
die Pflanze; -n | plant | рослина
das Pflaster; - | band-aid; plaster | пластир
der Pullover; - | sweater | светр
der Rat; Ratschläge | advice | порада
der Rücken; - | back | спина
der Schmerz; -en | pain; ache | біль
der Schnupfen | cold; runny nose | насморк
das Spiel; -e | game; play | гра; грати
der Sport | sport | спорт
die Sprechstunde; -n | consultation hour | приймальна година
die Tablette; -n | tablet; pill | таблетка
das Thema; Themen | topic; subject | тема; предмет
der Tip; -s | tip; hint | порада
der Tropfen; ­ | drop | крапля
das Verbandszeug | first aid kit | аптечка
die Verstopfung; -en | constipation | запор
der Wecker; ­ | alarm clock | будильник
das Wochenende; -n | weekend | вихідні
der Zahn; Zähne | tooth | зуб
		Adjektive
arm | poor | бідний
dick | thick | товстий
erkältet | cold; have a cold | застуджений; хворий на застуду
gebrochen | broken | зламаний
