	Lektion 1
		Verben
andern | to change; to alter | змінювати
der Laden; - | shop; store | магазин; крамниця
die Landschaft; -en | landscape | пейзаж
der Lautsprecher; - | loudspeaker | динамік
das Lied; -er | song | пісня
die Literatur | literature | література
der Maler; - | painter | художник
die Medizin | medicine | медицина
die Minute; -n | minute | хвилина
der Mond; -e | moon | місяць
die Musik | music | музика
die Nachricht; -en | news; message | новина; повідомлення
das Orchester; - | orchestra | оркестр
die Ordnung | order | порядок
der Plan; -e | plan | план
der Platz; -e | place; space | місце
die Qualität; -en | quality | якість
das Radio; -s | radio | радіо
die Sache; -n | thing; matter | річ; справа
der Schauspieler; - | actor | актор
die Sendung; -en | broadcast; program | передача; програма
der Sinn | sense; meaning | сенс; значення
die Spezialität; -en | specialty | спеціальність
der Sport | sport | спорт
die Technik | technology | техніка
das Telegramm; -e | telegram | телеграма
das Theater; - | theater | театр
das Tier; -e | animal | тварина
die Uhrzeit; -en | time; hour | час; година
die Unterhaltung; -en | entertainment; conversation | розвага; розмова
die Vorstellung; -en | idea; concept | уявлення; концепція
die Werbung | advertisement | реклама
die Wissenschaft; -en | science | наука
das Wochenende; -n | weekend | вихідні
der Zahn; -e | tooth | зуб
der Zuschauer; - | spectator; audience | глядач
		Adjektive
europäisch | European | європейський
fantastisch | fantastic | фантастичний
fein | fine; delicate | чудовий; дрібний
feucht | damp; moist | вологий
gewöhnlich | ordinary; usual | звичайний
günstig | favorable; cheap | сприятливий; дешевий
herzlich | warm-hearted; sincere | теплий; щиро
möglich | possible | можливий
öffentlich | public | публічний
regelmäßig | regular; frequent | регулярний; частий
reich | rich; wealthy | багатий; заможний
schwierig | difficult; hard | складний; важкий
tot | dead | мертвий
verboten | forbidden; prohibited | заборонено
weit | far; wide | далекий
		Adverbien
abends | in the evening | ввечері
besonders | especially | особливо
einige | some; several | деякі; кілька
extra | extra | додатково
genauso | just as; equally | так само; однаково
kaum | hardly; barely | мало
leider | unfortunately | на жаль
nachts | at night | вночі
so etwas | something like that | таке щось
solch- | such | такий
überhaupt nicht | not at all | зовсім не
viele | many | багато
vielleicht | maybe; perhaps | можливо
wenigstens | at least | принаймні
zuletzt | lastly; finally | нарешті
	Lektion 4
		Verben
abholen | to pick up | забирати
abmelden | to unregister; to deregister | відміняти реєстрацію
anmelden | to register; to sign up | реєструватися
arbeiten | to work | працювати
ausgeben | to spend; to issue | витрачати
bedienen | to serve; to operate | обслуговувати
bekommen | to get; to receive | отримувати
beraten | to advise; to counsel | консультувати
bezahlen | to pay | платити
brauchen | to need; to require | потребувати
bringen | to bring | приносити
einkaufen | to shop | робити покупки
erklären | to explain | пояснювати
funktionieren | to function; to work | працювати
kaufen | to buy | купувати
kontrollieren | to control; to check | контролювати
kosten | to cost | коштувати
leisten | to afford; to accomplish | дозволяти собі; виконувати
machen | to do; to make | робити
passen | to fit | підходити
passieren | to happen; to occur | траплятися
pflegen | to care for; to maintain | доглядати
prüfen | to examine; to test | перевіряти
reichen | to reach; to be enough | досягати; бути достатнім
reparieren | to repair | ремонтувати
schlafen | to sleep | спати
schneiden | to cut | різати
sorgen | to take care of; to worry | дбати; хвилюватися
tanken | to refuel | заправляти
überzeugen | to convince | переконувати
verbrauchen | to consume | споживати
verkaufen | to sell | продавати
verlieren | to lose | втрачати
versuchen | to try; to attempt | намагатися
warnen | to warn | попереджати
wechseln | to change | змінювати
		Nomen
das Abendessen; - | dinner | вечеря
die Arbeit; -en | work; job | робота
der Arbeiter; - | worker | робітник
der Arbeitnehmer; - | employee | працівник
der Artikel; - | article | стаття
das Auto; -s | car | автомобіль
die Batterie; -n | battery | батарея
das Benzin | gasoline | бензин
die Bremse; -n | brake | гальма
das Büro; -s | office | офіс
die Chance; -n | chance; opportunity | шанс; можливість
der Dank | thanks | подяка
der Diesel | diesel | дизельне паливо
der Donnerstag | Thursday | четвер
die Eheleute (Plural) | married couple | подружжя
das Europa | Europe | Європа
der Freitag | Friday | п'ятниця
das Gas | gas | газ
das Geld | money | гроші
die Geschwindigkeit; -en | speed | швидкість
das Gewicht | weight | вага
das Haus; -er | house | будинок
der Haushalt | household | господарство
die Heizung; -en | heating | опалення
die Information; -en | information | інформація
das Jahr; -e | year | рік
die Kasse; -n | checkout; cash register | каса
der Kilometer; - | kilometer | кілометр
der Kofferraum; -e | trunk (of a car) | багажник
die Konkurrenz | competition | конкуренція
der Kredit; -e | credit | кредит
der Kunde; -n | customer; client | клієнт
die Lampe; -n | lamp | лампа
die Lange | length | довжина
der Lastwagen; - | truck | вантажівка
der Liter; - | liter | літр
der Lohn; -e | wage; salary | зарплата
die Maschine; -n | machine | машина
das Material; -ien | material | матеріал
der Mechaniker; - | mechanic | механік
der Meister; - | master; craftsman | майстер
der Motor; -en | motor; engine | двигун
das Öl | oil | олива
die Panne; -n | breakdown | поломка
der Prospekt; -e | brochure; prospectus | проспект
das Rad; -er | wheel | колесо
der Reifen; - | tire | шина
die Reparatur; -en | repair | ремонт
die Situation; -en | situation | ситуація
der Spiegel; - | mirror | дзеркало
die Steuer; -n | tax | податок
der Strom | electricity | електрика
die Summe; -n | sum; total | сума
die Tankstelle; -n | gas station | заправка
die Überweisung; -en | bank transfer | банківський переказ
der Unfall; -e | accident | аварія
der Unterricht | lesson; class | урок; заняття
der Urlaub | vacation; holiday | відпустка
der Verkäufer; - | seller; salesperson | продавець
der Verkehr | traffic | рух
die Versicherung; -en | insurance | страхування
die Verzeihung | forgiveness | пробачення
der Vorname; -n | first name | ім'я
das Wasser | water | вода
die Werkstatt; -en | workshop; repair shop | майстерня; автосервіс
die Wohnung; -en | apartment; flat | квартира
die Zeitschrift; -en | magazine | журнал
der Zug; -e | train | поїзд
der Zuschlag; -e | surcharge | доплата
		Adjektive
automatisch | automatic | автоматичний
bequem | comfortable; convenient | зручний
billig | cheap; inexpensive | дешевий
direkt | direct | прямий
durchschnittlich | average | середній
eigen | own | власний
einfach | simple; easy | простий
früh | early | рано
geöffnet | open | відкритий
hoch | high; tall | високий
kaputt | broken | зламаний
kompliziert | complicated | складний
langsam | slow | повільний
niedrig | low | низький
normal | normal | нормальний
preiswert | affordable | доступний за ціною
schwach | weak | слабкий
technisch | technical | технічний
teuer | expensive | дорогий
verschieden | different; various | різний
wahr | true | правдивий
		Adverbien
danach | afterwards; after that | після цього
dienstags | on Tuesdays | у вівторок
links | left | ліворуч
montags | on Mondays | у понеділок
morgen | tomorrow | завтра
nachmittags | in the afternoon | вдень
plus | plus | плюс
vormittags | in the morning | зранку
vorne | in front | спереду
zuerst | first | спочатку
		Funktionsworter
daraus | from it | з цього
pro | per | на
rund um | around; about | навколо
statt | instead of | замість
vor | before | перед
was | what | що
wenig | few; little | мало
wie viel | how much | скільки
		Ausdrucke
eine Frage stellen | to ask a question | задавати питання
Erfolg haben | to succeed | досягати успіху
es geht | it's possible; it works | це працює
frei haben | to have time off | мати вільний час
noch einmal | once again; one more time | ще раз
Recht haben | to be right | мати право
wie lange | how long | як довго
	Lektion 5
		Verben
anrufen | to call; to phone | дзвонити
aufpassen | to pay attention; to watch out | уважно дивитися; обережно бути
aufräumen | to tidy up; to clean up | прибирати; чистити
aufstehen | to get up; to stand up | вставати; підніматися
ausmachen | to turn off; to switch off | вимикати; вимкнути
berichten | to report; to inform | повідомляти; звітувати
denken über | to think about; to consider | думати про; обдумувати
duschen | to shower | душитися
einladen | to invite | запрошувати
entschuldigen | to apologize; to excuse | вибачатися; виправдовуватися
erziehen | to educate; to bring up | виховувати; ростити
essen | to eat | їсти
fernsehen | to watch TV | дивитися телевізор
fühlen | to feel | відчувати
glauben | to believe | вірити
hangen | to hang | висіти
hassen | to hate | ненавидіти
heiraten | to marry | одружуватися
heißen | to be called; to mean | означати; називатися
hoffen | to hope | сподіватися
kochen | to cook | готувати
kümmern | to take care of | дбати; турбуватися
langweilen | to bore | нудити
leben | to live | жити
lieben | to love | кохати
meinen | to mean; to think | мислити; вважати
putzen | to clean | прибирати
rauchen | to smoke | курити
sagen | to say | говорити
schimpfen | to scold; to swear | ругати; лаятися
schlagen | to hit; to beat | бити; лупити
schmecken | to taste | смакувати
schwimmen | to swim | плавати
setzen | to put; to set | ставити; кладати
sparen | to save (money) | заощаджувати
spazieren gehen | to go for a walk | гуляти
sterben | to die | помирати
streiten | to argue; to quarrel | сваритися; посваритися
telefonieren | to telephone | телефонувати
toten | to kill | вбивати
trinken | to drink | пити
unterhalten | to entertain; to converse | розважати; спілкуватися
wecken | to wake (someone) up | будити
		Nomen
der Alkohol | alcohol | алкоголь
die Angst; -e | fear | страх
das Baby; -s | baby | дитина
die Beamtin; -nen | civil servant (female) | чиновниця
die/der Bekannte; -n (ein Bekannter) | acquaintance | знайомий
der Besuch; -e | visit | візит
der Chef; -s | boss | шеф
die Diskothek; -en | discotheque | дискотека
die Ehe; -n | marriage | шлюб
die Ehefrau; -en | wife | дружина
das Ehepaar; -e | married couple | подружжя
die Eltern (Plural) | parents | батьки
die Erziehung | upbringing; education | виховання
das Essen | food | їжа
die Familie; -n | family | родина
der Fehler; - | mistake | помилка
der Fernseher; - | television set | телевізор
die Flasche; -n | bottle | пляшка
die Frau; -en | woman; wife | жінка; дружина
der Freund; -e | friend (male) | друг
die Freundin; -nen | friend (female) | подруга
der Geburtstag; -e | birthday | день народження
das Gesetz; -e | law | закон
das Gespräch; -e | conversation | розмова
die Großeltern (Plural) | grandparents | дідусь та бабуся
die Großmutter; - | grandmother | бабуся
der Großvater; - | grandfather | дідусь
der Herr; -en | gentleman; Mr. | пан
der Ingenieur; -e | engineer | інженер
die Jugend | youth | молодь
das Kind; -er | child | дитина
die Kleider (Plural) | clothes | одяг
die Küche; -n | kitchen | кухня
der Kühlschrank; -e | refrigerator | холодильник
die Laune; -n | mood | настрій
das Leben | life | життя
das Mädchen; - | girl | дівчина
das Menü; -s | menu | меню
die Mutter; - | mother | мати
der Nachbar; -n | neighbor | сусід
der Neffe; -n | nephew | племінник
die Nichte; -n | niece | племінниця
der Onkel; - | uncle | дядько
das Paar; -e | couple | пара
die Pause; -n | break; pause | перерва
das Prozent; -e | percent | відсоток
die Ruhe | peace; quiet | спокій
der Salat; -e | salad | салат
der Schrank; -e | cupboard; wardrobe | шафа
die Schwester; -n | sister | сестра
der Sohn; -e | son | син
die Soße; -n | sauce | соус
die Tante; -n | aunt | тітка
die U-Bahn; -en | subway; metro | метро
der Unsinn | nonsense | безглуздя
die Untersuchung; -e | examination | обстеження
das Urteil; -e | judgment | вирок
der Vater; - | father | батько
das Viertel; - | quarter; district | квартал
der Wunsch; -e | wish | бажання
		Adjektive
aktiv | active | активний
allein | alone | сам
ärgerlich | annoying; irritating | дратівливий
beruflich | professional; occupational | професійний
besetzt | occupied; busy | зайнятий
dauernd | constant; continual | постійний
deutlich | clear; distinct | чіткий
doof | stupid; dumb | дурний
frei | free | вільний
früher | former; earlier | колишній
glücklich | happy | щасливий
höflich | polite | ввічливий
kritisch | critical | критичний
ledig | single; unmarried | одинокий
neugierig | curious | цікавий
spät | late | пізній
still | quiet; silent | тихий
überzeugt | convinced | переконаний
unbedingt | absolute; unconditional | безумовний
unfreundlich | unfriendly | нещирий
unmöglich | impossible | неможливий
verheiratet | married | одружений
		Adverbien
damals | back then; at that time | тоді
gern | gladly; willingly | залюбки
jetzt | now | зараз
manchmal | sometimes | іноді
schließlich | finally; after all | нарешті
sofort | immediately; at once | негайно
weg- | away | далеко
zurück- | back | назад
		Funktionsworter
auf | on; onto | на
dass | that | що
entweder ... oder ... | either ... or ... | або ... або ...
für | for | для
mit- | with | з
über | over; about | про
um | at; around | о
		Ausdrucke
dagegen sein | to be against | бути проти
frei sein | to be free | бути вільним
immer nur | always only | завжди тільки
klar sein | to be clear | бути зрозумілим
nach Hause | home | додому
naja | well... | ну
schlechte Laune haben | to be in a bad mood | бути у поганому настрої
sich wohl fühlen | to feel comfortable | почуватися комфортно
Sport treiben | to do sports | займатися спортом
zu Hause | at home | вдома
	Lektion 6
		Verben
denken an | to think about | думати про; згадувати
feiern | to celebrate | святкувати; відзначати
fließen | to flow | течі; рухатися
herstellen | to produce | виробляти; виготовляти
mitmachen | to participate | брати участь; приєднатися
mitnehmen | to take along | брати з собою; взяти із собою
produzieren | to produce | виробляти; продукувати
regnen; es regnet | to rain | дощити; йти дощем
scheinen | to shine | сяяти; світити
schneien; es schneit | to snow | сипати снігом; йти снігом
trennen | to separate | розділяти; відокремлювати
überraschen | to surprise | дивувати; здивувати
verbrennen | to burn | палити; спалювати
wegwerfen | to throw away | викидати; відкидати
werfen | to throw | кидати; метати
zeigen | to show | показувати; демонструвати
		Nomen
der Abfall; -e | waste | відходи; сміття
der Ausflug; -e | outing | похід; виїзд
der Bach; -e | stream | потік; річка
der Backer; - | baker | пекар; булочник
der Berg; -e | mountain | гора; вершина
der Boden | ground | земля; ґрунт
die/der Deutsche; -n (ein Deutscher) | German | німець; німецька
das Dorf; -er | village | село; містечко
die Dose; -n | can | банка; бляшанка
das Drittel; - | third | третина; третій
das Eis | ice | лід; морозиво
die Energie; -n | energy | енергія; сила
das Feld; -er | field | поле; нива
der Filter; - | filter | фільтр; фільтрувати
das Fleisch | meat | м'ясо; м'ясний
der Fluss; -e | river | річка; потік
der Frühling | spring | весна; джерело
das Gebirge; - | mountain range | гірський хребет; гори
das Gemüse | vegetable | овоч; зелень
das Getränk; -e | drink | напій; пити
das Gewitter; - | thunderstorm | гроза; негода
das Gift; -e | poison | отрута; отруйний
das Grad; -e | degree | ступінь; градус
die Grenze; -n | border | кордон; межа
der Handel | trade | торгівля; торгувати
der Herbst | autumn | осінь; осінній
der Hügel; - | hill | пагорб; підніжжя
die Industrie; -n | industry | промисловість; індустрія
die Insel; -n | island | острів; острівець
der Käse | cheese | сир; сируха
das Klima | climate | клімат; атмосфера
der Kunststoff; -e | plastic | пластик; пластмаса
das Land; -er | land | земля; країна
die Landkarte; -n | map | карта; мапа
die Limonade; -n | lemonade | лимонад; лимонна вода
die Losung; -en | solution | розчин; розв'язок
die Luft | air | повітря; атмосфера
der Marz | March | березень; март
das Meer; -e | sea | море; океан
die Menge; -n | quantity | кількість; маса
der Meter; - | meter | метр; вимірювач
der Nebel | fog | туман; мгла
der Norden | north | північ; північний
das Obst | fruit | фрукт; плід
der Osten | east | схід; східний
(s) Osterreich | Austria | Австрія; австрійський
das Papier | paper | папір; паперовий
der Park; -s | park | парк; парковий
die Party; -s | party | вечірка
die Pflanze; -n | plant | рослина; рослинний
das Plastik | plastic | пластик; пластмасовий
der Rasen | lawn | газон; лужок
der Regen | rain | дощ; дощовик
der Saft; -e | juice | сік; сіків
das Schiff; -e | ship | корабель; судно
der Schnee | snow | сніг; сніжок
der Schnupfen | cold | насморк; кашель
die See | sea | море; океан
der Sommer | summer | літо; літній
die Sonne; -n | sun | сонце; сонячний
der Stoff; -e | material | матеріал; тканина
der Strand; -e | beach | пляж; берег
die Strecke; -n | distance | відстань; дистанція
der Süden | south | південь; південний
das Tal; -er | valley | долина; ущелина
das Taschentuch; -er | tissue | тканина; паперовий хусточка
der Teil; -e | part | частина; дільник
die Temperatur; -en | temperature | температура; градус
die Tonne; -n | barrel | бочка; барель
das Ufer; - | bank | берег; банк
der Wald; -er | forest | ліс; лісний
der Wein; -e | wine | вино; виноград
der Westen | west | захід; західний
der Wetterbericht; -e | weather forecast | прогноз погоди; метеопрогноз
die Wiese; -n | meadow | лука; підніжжя
der Wind | wind | вітер; вітрильний
der Winter | winter | зима; зимовий
die Woche; -n | week | тиждень; тижневий
der Wohnort; -e | residence | місце проживання; резиденція
die Wurst; -e | sausage | ковбаса; сосиска
die Zeichnung; -en | drawing | малюнок; зображення
		Adjektive
allmählich | gradually | поступово; мало-помалу
besser | better | краще; кращий
deutsch | German | німецький; німецькою мовою
erste | first | перший; перше
flach | flat | плоский; рівний
folgend | following | наступний; слідуючий
gleichzeitig | simultaneous | одночасний; синхронний
heiß | hot | гарячий; жаркий
herrlich | gorgeous | чудовий; великоліпний
ideal | ideal | ідеальний; ідеально
kalt | cold | холодний; холодно
kühl | cool | прохолодний; прохолодно
meist- | mostly | переважно; в основному
nass | wet | вологий; мокрий
persönlich | personal | особистий; персональний
plötzlich | sudden | раптовий; несподіваний
sonnig | sunny | сонячний; сонячно
stark | strong | сильний; міцний
täglich | daily | щоденний; щодня
trocken | dry | сухий; сушений
typisch | typical | типовий; характерний
warm | warm | теплий; тепло
zweite | second | другий; друге
		Funktionsworter
durch | through | через; крізь
wenige | few | кілька; мало
zwischen | between | між; поміж
		Ausdrucke
am Tage | during the day | протягом дня; вдень
baden gehen | go bathing | піти в баню; купатися
den ganzen Tag | all day | весь день; цілий день; ється
es gibt | there is; there are | є
es ist heiß | it is hot | гаряче; жарко
es regnet | it is raining | йде дощ; падає дощ
es schneit | it is snowing | йде сніг; падає сніг
etwas gegen den Müll tun | do something about the garbage | зробити щось зі сміттям; прибрати сміття
