org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Themen+Aktuell+3

	Lektion 1
		Verben
ärgern | annoy | обурювати; дратувати
die Holztür; -en | wooden door | дерев'яні двері; дерев'яні дверцята
die Jugend | youth | молодь; юність
das Kaufhaus; -er | department store | універмаг; торгівельний центр
das Kinderzimmer; - | child's room | дитяча кімната
die Klasse; -n | class | клас; група
die Kleinstadt; -e | small town | містечко; малий населений пункт
das Königreich; -e | kingdom | королівство; царство
der Kunststoff; -e | plastic | пластик; пластмаса
die Lage; -n | location | розташування; місце
die Landschaft; -en | landscape | пейзаж; краєвид
die Markthalle; -n | market hall | ринкова зала; торгова зали
die Mehrheit; -en | majority | більшість
die Meinung; -en | opinion | думка
der Nachtclub; -s | nightclub | нічний клуб; дискотека
der Nachteil; -e | disadvantage | недолік
das Parkhaus; -er | parking garage | паркінг
die Qualität; -en | quality | якість
der Raucher; - | smoker | курців; курець
das Regal; -e | shelf | полиця; стелаж
die Reihe; -n | row | ряд; лінія
die Reparatur; -en | repair | ремонт; відновлення
der Schreibtisch; -e | desk | стіл; письмовий стіл
die Schrift; -en | writing | писання; письмо
die Schulbildung | schooling | навчання; освіта
der Selbstmord; -e | suicide | самогубство
der Smog; -s | smog | смог
das Sofa; -s | sofa | диван; софа
der Stadtteil; -e | district | район
das Stadtzentrum; -zentren | city center | центр міста; центральна частина міста
der Stein; -e | stone | камінь
das Stockwerk; -e | floor | підлога; поверх
der Stoff; -e | fabric | тканина; матеріал
das Telefonbuch; -er | telephone directory | телефонний довідник; телефонна книга
der Verstand | mind | розум
das Volk; -er | people | народ; люди
der Vorort; -e | suburb | передмістя; пригород
der Vorteil; -e | advantage | перевага; плюс
die Waschmaschine; -n | washing machine | пральна машина
der Weg; -e | way | спосіб; шлях
die Wiese; -n | meadow | лука; поляна
das Wohnzimmer; - | living room | вітальня; зала
der Zeitpunkt; -e | time | час; момент
		Adjektive
flach | flat | плоский; рівний
hoch | high | високий; великий
hübsch | pretty | гарний; привабливий
langweilig | boring | нудний; скучний
menschlich | human | людський; гуманний
negativ | negative | негативний; від'ємний
notwendig | necessary | необхідний; потрібний
offen | open | відкритий; відчинений
politisch | political | політичний
richtig | right | правильний
rund | round | круглий
schwach | weak | слабкий
spitz | sharp | гострий
unglaublich | incredible | неймовірний
vergangen | past | минулий
weit | far | далекий
		Adverbien
außen | outside | зовні; на вулиці
einmal | once | одного разу; колись
normalerweise | usually | зазвичай
nun | now | зараз; тепер
offenbar | apparently | очевидно; мабуть
		Funktionsworter
je ..., desto | the ... the | чим ... тим; тим ... тим
		Ausdrücke
nicht so gut | not so good | не так добре; не дуже добре
(etwas) mehr als | a bit more than | трохи більше, ніж; трохи більше, ніж
die meisten | most | найбільш; більшість
kaum jemand | hardly anyone | ледве хто-небудь; ледве хто-небудь
die in kleiner Teil | smaller part | менша частина; менший фрагмент
	Lektion 3
		Verben
abspielen | to play | відтворювати; грати
ankommen | to arrive | прибувати; приходити
anschließen | to connect | підключати; з'єднувати
aufgeben | to give up | відмовлятися; покидати
aussehen | to look | виглядати; вигляд
bedeuten | to mean | означати; мати значення
beginnen | to begin | починати; початок
besitzen | to own | володіти; мати
bleiben | to stay | залишатися; залишок
fühlen | to feel | відчувати; почуття
führen | to lead | вести; лідерство
gehören | to belong | належати; бути частиною
mitmachen | to participate | брати участь; участь
nahen | to approach | наближатися; підходити
öffnen | to open | відкривати; відкритий
riechen | to smell | пахнути; запах
sorgen | to care | турбуватися; піклуватися
suchen | to search | шукати; пошук
teilen | to share | ділитися; частка
trennen | to separate | розділяти; окремий
verabreden | to agree | погоджуватися; згода
versprechen | to promise | обіцяти; обіцянка
		Nomen
die Anleitung; -en | instruction | інструкція; посібник
der Augenblick; -e | moment | момент; хвилина
der Ausdruck; -e | expression | вираз; вислів
der Ausflug; -e | trip | поїздка; виїзд
der Baum; -e | tree | дерево; деревце
der Betrieb; -e | operation | операція; діяльність
die Bewegung; -en | movement | рух; рухання
das Boot; -e | boat | човен; корабель
der Club; -s | club | клуб; гурток
die Diskussion; -en | discussion | обговорення; дискусія
die Empfehlung; -en | recommendation | рекомендація; порада
der/die Erwachsene; -n | adult | дорослий
das Freizeitprogramm; -e | leisure program | програма відпочинку; дозвілля
das Gewicht; -e | weight | вага
das Gras; -er | grass | трава; газон
die Hochzeit; -en | wedding | весілля
das Jogging | jogging | біг
die Laune; -n | mood | настрій
die Liebe | love | любов; кохання
das Lied; -er | song | пісня
das Mitglied; -er | member | член; учасник
der Moment; -e | moment | момент
der Motor; -en | engine | двигун; мотор
der Mut | courage | мужність; сміливість
der Punkt; -e | point | точка; пункт
das Recht; -e | right | право; правильно
der Reifen; - | tire | шина; шини
der Rock; -e | skirt | спідниця
die Saison; -s | season | сезон; пора року
die Schulzeit; -en | school time | шкільний час; шкільні роки
der See; -n | lake | озеро
die Sportart; -en | type of sport | вид спорту; спорт
der Star; -s | star | зірка; знаменитість
die Stimmung; -en | mood | настрій
das Studio; -s | studio | студія
der Terminkalender; - | calendar | календар
das Training; -s | training | навчання; тренування
der Verein; -e | club | клуб; товариство
die Wiese; -n | meadow | лука
das Ziel; -e | goal | мета
das Zuhause; - | home | дім
		Adjektive
aktiv | active | активний; дієвий
bequem | comfortable | зручний; комфортний
fit | fit | підходити; відповідний
höflich | polite | ввічливий; коректний
lautlos | silent | тихий; беззвучний
pünktlich | punctual | пунктуальний; вчасний
regelmäßig | regular | регулярний; звичайний
richtig | correct | правильний; вірний
schlimm | bad | поганий
sinnvoll | meaningful | значущий; має сенс
sportlich | athletic | спортивний; атлетичний
toll | great | великий; чудовий
traurig | sad | сумний
ungesund | unhealthy | нездоровий
unsportlich | unathletic | неспортивний
wichtig | important | важливий
		Adverbien
bisher | so far | досі
einverstanden | agreeable | приємний; згоден
hinten | back | назад; задній
prima | great | великий; чудовий
selten | rare | рідко
unterwegs | on the way | по дорозі; у дорозі
vorbei | past | минулий; закінчений
		Funktionsworter
bei | at | в; на
in | in | в
nach | to | до; у
ob | if | якщо
seit | since | з; від
vor | before | перед; до
wahrend | while | в то час як; під час
wegen | because of | через
weil | because | тому що; бо
wenn ..., (dann) | if ..., (then) | якщо ..., (то) ; якщо..., (то)
	Lektion 4
		Verben
abschalten | to turn off | вимикати; відключати
anstrengen | to strain | напружувати; намагатися
aufregen | to excite | збуджувати; хвилювати
ausziehen | to take off | знімати; виїжджати
benutzen | to use | використовувати; користуватися
beruhigen | to calm down | заспокоювати; успокоювати
beschäftigen | to occupy | займатися; завдавати
duschen | to shower | душ; приймати душ
entstehen | to arise | виникати; походити
erinnern | to remember | пам'ятати; нагадувати
hangen | to hang | висіти; повісити
lassen | to let | дозволяти; залишати
probieren | to try | спробувати; пробувати
putzen | to clean | прибирати; чистити
rasieren | to shave | голити; стригти
riechen | to smell | пахнути; нюхати
schmecken | to taste | смакувати; пробувати
setzen | to set | встановлювати; ставити
sorgen | to worry | турбуватися; хвилюватися
sparen | to save | заощаджувати; економити
stehlen | to steal | красти; вкрасти
steigen | to climb | підніматися; карабкатися
toasten | to toast | піджарювати; тост
trennen | to separate | відокремлювати; розділяти
verbinden | to connect | з'єднувати; підключати
waschen | to wash | прати; мити
ziehen | to pull | тягнути; витягати
zusammenfließen | to merge | об'єднувати; зливатися
zusammenlaufen | to converge | збігатися; стікається
		Nomen
das Abendessen; - | dinner | вечеря; обід
die Bedeutung; -en | meaning | значення; сенс
das Besteck; -e | cutlery | столові прилади; столові прибори
die Erwartung; -en | expectation | очікування; надії
der Essig; -e | vinegar | оцет; винний оцет
der Esslöffel; - | tablespoon | столова ложка; ложка
der Gang; -e | corridor | коридор; хідник
das Gefühl; -e | feeling | відчуття; почуття
das Gericht; -e | dish | страва; посуд
das Geschirr; -e | dishware | посуд; посудина
der Geschmack; -e(r) | taste | смак; проба
der Heißhunger | craving | пристрасть; натхнення
der Inhalt; -e | content | зміст; вміст
die Klasse; -n | class | клас; урок
das Kleinkind; -er | toddler | маля; малюк
der Körper; - | body | тіло; організм
das Lied; -er | song | пісня; мелодія
die Mahlzeit; -en | meal | страва; обід
die Menge; -n | quantity | кількість; кількісний показник
das Menu; -s | menu | меню; список
der Mittelpunkt; -e | center | центр; середина
der Nachteil; -e | disadvantage | недолік; мінус
das Nahrungsmittel; - | food | їжа; продукт
der Pilz; -e | mushroom | гриб; печериця
die Qualität; -en | quality | якість; стандарт
die Rede; -n | speech | мовлення; промова
das Regal; -e | shelf | полиця; стелаж
das Salz; -e | salt | сіль; солодка
die Schwierigkeit; -en | difficulty | складність; труднощі
der/das Teil; -e | part | частина; деталь
das Vergnügen; - | pleasure | задоволення; радість
der Vorteil; -e | advantage | перевага; бонус
die Wirklichkeit; -en | reality | реальність; дійсність
		Adjektive
enttäuscht | disappointed | розчарований
ernst | serious | серйозний; важливий
fein | fine | прекрасний; дрібний
möglich | possible | можливий; потенційний
nass | wet | вологий; мокрий
negativ | negative | негативний; від'ємний
neugierig | curious | цікавий; допитливий
offen | open | відкритий; відкрито
positiv | positive | позитивний; позитивно
sauer | sour | кислий; гіркий
schwach | weak | слабкий; вразливий
selten | rare | рідкий; незвичайний
übrig | leftover | залишок; відходи
unruhig | restless | неспокійний; розгойданий
verantwortlich | responsible | відповідальний; зобов'язаний
weich | soft | м'який; ніжний
zuckerfrei | sugar-free | без цукру
		Adverbien
danach | afterwards | після цього; потім
dann | then | потім; тоді
die ben | ever | будь-коли; коли-небудь
hinten | back | назад
möglichst | as possible | як можна; якомога
montags | on Mondays | в понеділок; по понеділках
nebenbei | on the side | на боці; додатково
nun | now | зараз; тепер
schließlich | finally | нарешті; врешті
übermorgen | day after tomorrow | післязавтра
vorgestern | day before yesterday | позавчора; навчора
zuletzt | lastly | наостанок; останнім
		Funktionsworter
je ..., desto | the ... the ... | чим ... тим ...; як ... так ...
ob | if | якщо; у випадку
sich | oneself | сам; себе
wenn ..., (dann) | if ... then | якщо ... то ...; як ... так ...
	Lektion 5
		Verben
abnehmen | to lose weight | схуднути; зменшувати вагу
ärgern | to annoy | дратувати; ображати
auswählen | to select | вибирати; обирати
beachten | to pay attention | звертати увагу; дотримуватися
beschließen | to decide | вирішувати; приймати рішення
betreuen | to supervise | наглядати; керувати
bewegen | to move | рухатися; пересуватися
bittento ask | просити; запитувати
einstellen | to hire | наймати; приймати на роботу
entwickeln | to develop | розвивати; створювати
erhalten | to receive | отримувати
erstellen | to create | створювати; розробляти
interessieren | to interest | цікавити; зацікавлювати
kämpfen | to fight | боротися; воювати
klappen | to work out | виходити; вдача
kümmern | to take care | турбуватися; доглядати
leiten | to lead | вести; керувати
organisieren | to organize | організовувати; упорядковувати
passen | to fit | підходити; відповідати
pflegen | to care | доглядати; оберігати
produzieren | to produce | виробляти; продукувати
schlagen | to beat | бити; перемагати
sorgen | to worry | турбуватися; хвилюватися
treffen | to meet | зустрічатися; відповідати
überzeugen | to convince | переконувати
verbessern | to improve | покращувати; вдосконалювати
verlangen | to demand | вимагати; запитувати
versuchen | to try | спробувати; намагатися
vorbereiten | to prepare | готуватися; підготовляти
vorstellen | to introduce | представляти; введення
weinen | to cry | плакати; ридати
wiegen | to weigh | важити; зважувати
		Nomen
das Abitur | high school diploma | атестат; зрілість
die Abteilung; -en | department | відділ; відділення
die Angst; -e | fear | страх; боязнь
das Arbeitsklima; -s | work atmosphere | робоча атмосфера; робоче середовище
die Art; -en | kind | вид; рід
der Auftrag; -e | task | завдання; місія
die Ausbildung; -en | education | освіта; навчання
der Ausdruck; -e | expression | вираз; вираження
der Betrieb; -e | enterprise | підприємство
die Bewerbung; -en | application | заява
die Bezahlung | payment | оплата; виплата
das Blut | blood | кров
der Eingang; -e | entrance | вхід
die Einkaufstasche; -n | shopping bag | сумка для покупок; пакет для покупок
die Erfindung; -en | invention | винахід
der Erfolg; -e | success | успіх
die Erlaubnis; -se | permission | дозвіл
die Fremdsprache; -n | foreign language | іноземна мова
der Führerschein; -e | driver's license | водійські права; водійське посвідчення
das Gehalt; -er | salary | зарплата; заробітна плата
das Gerat; -e | device | пристрій
das Geschäft; -e | business | бізнес; справа
das Haar; -e | hair | волосся
der Herbst; -e | autumn | осінь
der Kaufmann; -leute | merchant | купець; комірник
der Kollege; -n | colleague | колега
die Kopfschmerzen (Plural) | headache | головний біль
die Kopie; -n | copy | копія
die Lebensgeschichte; -n | life story | життєва історія; біографія
die Lehre; -n | teaching | викладання; навчання
das Material; -ien | material | матеріал
der Mitarbeiter; - | employee | працівник; робітник
das Mitglied; -er | member | член; учасник
der Motor; -en | engine | двигун; мотор
die Nachricht; -en | message | повідомлення
die Organisation; -en | organization | організація
der Patient; -en | patient | пацієнт; хворий
die Produktion; -en | production | виробництво
der Pullover; - | sweater | светр; джемпер
die Qualität; -en | quality | якість
die Reparatur; -en | repair | ремонт
die Reservierung; -en | reservation | резервація; бронювання
die Rolle; -n | role | роль
der Schlüssel; - | key | ключ
der Schiller; - | poet | поет
der See; -n | lake | озеро
die Stelle; -n | position | позиція
die Stimmung; -en | mood | настрій; атмосфера
die Tätigkeit; -en | activity | діяльність; активність
das Team; -s | team | команда
der Teich; -e | pond | ставок
die Untersuchung; -en | examination | обстеження; іспит
die Werbung | advertising | реклама
der Zeitpunkt; -e | moment | момент
das Zeugnis; -se | certificate | сертифікат; свідоцтво
die Zukunft | future | майбутнє
der Zweck; -e | purpose | мета; ціль
		Adjektive
deutlich | clear | ясний; очевидний
freundlich | friendly | дружній; привітний
höflich | polite | ввічливий
jung | young | молодий
notwendig | necessary | необхідний; потрібний
öffentlich | public | публічний; громадський
persönlich | personal | особистий; персональний
praktisch | practical | практичний
		Adverbien
ausgezeichnet | excellent | відмінно
eventuell | possibly | можливо
normalerweise | normally | зазвичай
tatsachlich | actually | фактично; насправді
wahrscheinlich | probably | ймовірно; мабуть
obwohl | although | хоча
trotzdem | nevertheless | тим не менше; однак
	Lektion 6
		Verben
anbieten | to offer | пропонувати; продає
anmelden | to register | зареєструвати; реєстрація
erinnern | to remember | пам'ятати; нагадувати
erwarten | to expect | очікувати; передбачати
freuen | to be glad | радіти; веселитися
interessieren | to interest | цікавити; інтерес
mitgehen | to go along | йти разом; піти з
mitkommen | to come along | приходити разом; йти з
reservieren | to reserve | резервувати; бронювати
setzen | to put | поставити; помістити
trennen | to separate | розділяти; відокремлювати
verbringen | to spend | проводити; витрачати
verlangen | to demand | вимагати; потребувати
verlieben | to fall in love | закохуватися; полюбляти
weggehen | to go away | піти геть; виїжджати
weglaufen | to run away | втікати; бігти прочищати
		Nomen
das Alter; - | age | вік; вікова категорія
die Anmeldung; -en | registration | реєстрація; реєстраційна форма
der Ausflug; -e | trip | поїздка; екскурсія
die Bedingung; -en | condition | стан; умова
der Druck | pressure | тиск; натиск
der Ehemann; -er | husband | чоловік
das Ereignis; -se | event | подія; захід
der Erfolg; -e | success | успіх; досягнення
das Ergebnis; -se | result | результат; висновок
die Erlaubnis; -se | permission | дозвіл; дозволити
der/die Erwachsene; -n | adult | дорослий
das Gegenteil; -e | opposite | протилежний; протилежність
die Geschwister (Plural) | siblings | брати та сестри; рідня
das Gewitter; - | thunderstorm | гроза; грозова злива
die Gitarre; -n | guitar | гітара; гітарист
die Großeltern (Plural) | grandparents | дідусь та бабуся; бабуся та дідусь
die Großmutter; - | grandmother | бабуся; бабця
die Heimat; -en | homeland | батьківщина; домівка
der Humor | humor | гумор; жарт
der Job; -s | job | робота; заняття
die Klasse; -n | class | клас; група
das Klassenzimmer; - | classroom | класна кімната; аудиторія
die Lehre; -n | apprenticeship | навчання; практика
der Lehrer; - | teacher | вчитель; викладач
die Mahlzeit; -en | meal | їжа; страва
die Mathematik | mathematics | математика; математичний
der Mitschüler; - | classmate | однокласник; товариш по класу
die Musikgruppe; -n | music group | музична група; музиканти
der Mut | courage | мужність; сміливість
die Note; -n | grade | оцінка; клас
die Rolle; -n | role | роль; функція
der Schuler; - | student | учень; студент
der Schultag; -e | school day | шкільний день; день у школі
die Schultüte; -n | school cone | шкільний конус; конус зі солодощами (першого вересня)
der Sprachkurs; -e | language course | мовний курс; курс з мови
der Teilnehmer; - | participant | учасник; учасниця
die Vergangenheit | past | минуле; минулий
das Zeugnis; -se | report card | відомість; звіт
das Ziel; -e | goal | мета; ціль
der Zoo; -s | zoo | зоопарк; тваринний сад
		Adjektive
ängstlich | anxious | тривожний; напружений
arbeitslos | unemployed | безробітний
ärgerlich | annoyed | розгніваний; обурений
einsam | lonely | самотній; усамітнений
fröhlich | happy | щасливий; радісний
hübsch | pretty | гарний; привабливий
humorlos | humorless | безгуморний; серйозний
jung | young | молодий; юний
klug | smart | розумний; кмітливий
kompliziert | complicated | складний; заплутаний
laut | loud | голосний; шумний
männlich | male | чоловічий
nass | wet | мокрий; вологий
ordentlich | neat | охайний; чистий
sauer | sour | кислий; розлючений
schmutzig | dirty | брудний; забруднений
spannend | exciting | захоплюючий; цікавий
sportlich | athletic | спортивний; атлетичний
stolz | proud | гордий; пишний
traurig | sad | сумний; печальний
unfreundlich | unfriendly | недружелюбний; непривітний
uninteressant | uninteresting | невинно; нецікаво
unmodern | outdated | застарілий; застаріло
unsympathisch | unsympathetic | неспівчутливий; безпристрасний
weiblich | female | жіночий; самка
weich | soft | м'який; ніжний
zufällig | random | випадковий; непередбачуваний
		Adverbien
anfangs | initially | спочатку; на початку
damals | back then | тоді; колись
nun | now | зараз; тепер
tatsachlich | actually | фактично; справді
		Funktionsworter
als | when | коли; якщо; після
nachdem | after | після того як
wann? | when? | коли?; куди?
was? | what? | що?; як?
wenn | if | якщо б
wer? | who? | хто?; кого?
wie? | how? | як?; яким чином?
wo? | where? | де?; куди?
	Lektion 7
		Verben
achten | respect | поважати; уважати
beginnen | begin | починати; початок
bringen | bring | приносити; приводити
erlauben | allow | дозволяти; дозволити
erschrecken | frighten | лякати; налякати
erwarten | expect | очікувати; чекати
festhalten | hold | тримати; утримувати
fühlen | feel | відчувати; почувати
gehören | belong | належати; бути власністю
interessieren | interest | цікавити; зацікавлювати
leiden | suffer | страждати; терпіти
lügen | lie | брехати; лежати
merken | notice | помічати; замічати
pflegen | care | доглядати; піклуватися
streiten | argue | сваритися; посваритися
überraschen | surprise | здивувати; вражати
unterhalten | entertain | розважати; забавляти
verabreden | arrange | домовлятися; узгоджувати
versprechen | promise | обіцяти; обіцянка
verstehen | understand | розуміти; зрозуміти
versuchen | try | намагатися; спробувати
weinen | cry | плакати; кричати
zahlen | pay | платити; оплачувати
ziehen | pull | тягнути; витягувати
		Nomen
der Anfang; -e | begin | початок; починати
der/die Angestellte; -n | employee | працівник; співробітник
der Anzug; -e | suit | костюм; сукня
das Aussehen | appearance | зовнішність; вигляд
der Bart; -e | beard | борода; вуса
der Bruder; - | brother | брат; братик
der Charakter; -e | character | характер; персонаж
der Eindruck; -e | impression | враження; уява
der Fall; -e | case | випадок; справа
die Figur; -en | figure | фігура; цифра
das Gesicht; -er | face | обличчя; лице
das Glas; -er | glass | скло; склянка
das Haar; -e | hair | волосся; волоссю
der Himmel; - | sky | небо; небеса
der Humor | humor | гумор; жарт
der Hunger | hunger | голод; жага
der Kontakt; -e | contact | контакт; зв'язок
der Krimi; -s | detective story | детектив; криміналістика
die Laune; -n | mood | настрій; лад
der Mitmensch; -en | fellow human being | співлюдина; людина
der Moment; -e | moment | момент; хвилина
der Onkel; - | uncle | дядько
der Pullover; - | sweater | светр; пуловер
die Regel; -n | rule | правило; норма
die Rolle; -n | role | роль; функція
die Stimme; -n | voice | голос; звук
die Tochter; - | daughter | дочка; донька
der Typ; -en | guy | хлопець; тип
das Versprechen; - | promise | обіцянка; обіцяти
der Vorteil; -e | advantage | перевага; плюс
die Wiederholung; -en | repetition | повторення; репетиція
der Witz; -e | joke | жарт; анекдот
das Ziel; -e | goal | ціль; мета
		Adjektive
ängstlich | fearful | побоювання; боязкий
ärgerlich | angry | сердитий; злий
blond | blond | блондин; світлошкірий
böse | angry | сердитий; злий
dumm | stupid | дурний; глупий
faul | lazy | лінивий
frech | cheeky | нахабний; сміливий
fröhlich | happy | щасливий; веселий
höflich | polite | ввічливий; люб'язний
humorvoll | humorous | гумористичний; жартівливий
intelligent | intelligent | розумний; інтелігентний
klug | clever | розумний; винахідливий
langweilig | boring | нудний; скучний
mager | thin | худий; тонкий
negativ | negative | від'ємний; негативний
ordentlich | tidy | охайний; чистий
persönlich | personal | особистий; приватний
positiv | positive | позитивний
pünktlich | punctual | пунктуальний; своєчасний
rund | round | круглий
schlimm | bad | поганий; злий
schmutzig | dirty | брудний
sportlich | sporty | спортивний
sympathisch | likable | симпатичний; приємний
traurig | sad | сумний
unangenehm | unpleasant | неприємний
unfreundlich | unfriendly | недружелюбний; ворожий
unkompliziert | uncomplicated | невимушений; простий
unsympathisch | dislikable | неприємний; несимпатичний
vernünftig | reasonable | розумний; раціональний
weiblich | female | жіночий
wütend | angry | сердитий; злий
zuverlässig | reliable | надійний; вірний
		Adverbien
angenehm | pleasantly | приємно
dauernd | continuously | постійно; безперервно
selten | rarely | рідко; зрідка
		Funktionsworter
damit | so that | щоб; так що
um ... zu | in order to | для того щоб; з метою
	Lektion 8
		Verben
anhangen | to hang; to depend | прикріплюватися; залежати
anprobieren | to try on | приміряти; спробувати
ärgern | to annoy | дратувати; злість
aussehen | to look; to appear | виглядати; вигляд
aussuchen | to choose; to pick out | вибирати; обирати
bedeuten | to mean; to signify | означати; значення
beschließen | to decide | вирішувати; приймати рішення
besitzen | to possess; to own | володіти; володіння
bestehen | to exist; to consist | існувати; складатися
bewerben | to apply; to submit an application | подавати заяву; виступати
hangen | to hang | висіти; вішати
hoffen | to hope | сподіватися; надія
kosten | to cost | коштувати; вартість
planen | to plan | планувати; план
riechen | to smell | пахнути; запах
schlagen | to hit; to strike | бити; удар
schließen | to close; to shut | закривати; закрити
stehen | to stand | стояти; стан
steigen | to rise; to climb | підніматися; зростати
stellen | to place; to put | розміщувати; ставити
streiken | to strike | страйк; удар
umtauschen | to exchange; to swap | обмінювати; обмін
verbrauchen | to consume; to use up | вживати; споживати
verbringen | to spend; to pass | проводити; витрачати
