org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Linie+1+Beruf+B2

	Kapitel 1 Hier arbeite ich
		1 Arbeitsräume
die Klimaanlage; -n | air conditioning | кондиціонер
die Redaktion; -en | editorial office | редакція
Besorgungen machen | run errands | виконувати справи
		3 Ein Gespräch mit Mehmet
einen Kiosk betreiben | run a kiosk | керувати кіоском
die Buchführung (Sg.) | accounting | бухгалтерія
der Pachtvertrag; -e | lease contract | договір оренди
das Sortiment; -e | product range | асортимент
die Lage (Sg.) | location | розташування
finanzielle Rücklagen | financial reserves | фінансові резерви
eröffnen | open | відкривати
der Besitzer; - / die Besitzerin; -nen | owner | власник / власниця
gewerblich | commercial | комерційний
die Reserve; -n | reserve | резерв
die Einnahme; -n | income | дохід
die Ausgabe; -n | expense | витрати
die Verwirklichung (Sg.) | realization | реалізація
profitieren (von + D.) | benefit (from) | користуватися
selbstständig | independent | самостійний
die Versicherung; -en | insurance | страховка
das Existenzgründerseminar; -e | start-up seminar | семінар для підприємців
die Geschäftsidee; -n | business idea | бізнес-ідея
der Familienbetrieb; -e | family business | сімейний бізнес
der Konzern; -e | corporation | корпорація
der/die Vorgesetzte; -n | supervisor | керівник
die Lieferung; -en | delivery | доставка
die Rücksendung; -en | return | повернення
die Logistik (Sg.) | logistics | логістика
		4 Beiträge im Gründerforum
die Nachfrage (Sg.) | demand | попит
klappen | work out / succeed | виходити
die Pleite; -n | bankruptcy | банкрутство
pleitegehen | go bankrupt | банкрутувати
der Kredit; -e | loan | кредит
einen Kredit aufnehmen | take out a loan | взяти кредит
niedergeschlagen | downcast / discouraged | пригнічений
gründen | found / start | заснувати
die Gewerbefläche; -n | commercial space | комерційна площа
der Existenzgründer; - / die Existenzgründerin; -nen | start-up founder | підприємець / підприємиця
günstig | cheap / favorable | вигідний
der Zuschuss; -e | subsidy | субсидія
		5 Alltag im Späti – der Dienstplan
der Dienstplan; -e | duty roster / schedule | графік роботи
etwas übernehmen | take over something | брати на себе
etwas einhalten | comply with / adhere to | дотримуватися
ausnahmsweise | exceptionally | винятково
der Umstand; -e | circumstance | обставина
		6 Arbeitsaufträge
die Lieferung; -en | delivery | доставка
unbedingt | absolutely / definitely | обов’язково
dringend | urgent | терміново
der Karton; -s | box | коробка
der Arbeitsauftrag; -e | work assignment | робоче завдання
das Telefon abnehmen | answer the phone | підняти слухавку
zuständig | responsible | відповідальний
die Nachbestellung; -en | reorder | повторне замовлення
	Kapitel 3 Arbeit im Team
		1 Teamarbeit
die Teamarbeit (Sg.) | teamwork | командна робота
das Zusammenspiel (Sg.) | interaction / cooperation | взаємодія
sich anstrengen (bei + D. / mit + D.) | make an effort (with / in) | старатися
weiterkommen | make progress | просуватися вперед
verteilen | distribute | розподіляти
die Mannschaft; -en | team / crew | команда
		2 Sofia Adu ist neu beim Partyservice Fein
Kritik üben/äußern (an + D.) | give criticism (about) | критикувати
die Rundmail; -s | circular email | розсилка
souverän | confident / poised | впевнено
die Absprache; -n | agreement / arrangement | домовленість
unvoreingenommen | unbiased | необ’єктивний
das Verhalten (Sg.) | behavior | поведінка
überlastet sein | be overloaded | бути перевантаженим
der Verbesserungsvorschlag; -e | suggestion for improvement | пропозиція щодо покращення
sich unbeliebt machen (bei + D.) | make oneself unpopular | зробити себе непопулярним
einen schlechten Eindruck hinterlassen (bei + D.) | leave a bad impression | залишити погане враження
die Ehrlichkeit (Sg.) | honesty | чесність
jdn. loben (für + A.) | praise someone (for) | хвалити когось
etwas vertuschen | cover something up | приховувати
überfordert | overwhelmed | перевантажений
das Gerücht; -e | rumor | чутка
der/die IT-Beauftragte; -n | IT officer | відповідальний за ІТ
verhindern | prevent | запобігати
gelassen | calm / composed | спокійний
das Vorurteil; -e | prejudice | упередження
umgehen (mit + D.) | deal with | справлятися з
eine Entscheidung treffen | make a decision | приймати рішення
der Abteilungsleiter; - / die Abteilungsleiterin; -nen | department manager | керівник відділу
Verhandlungen führen (mit + D.) | conduct negotiations | вести переговори
einen Auftrag vergeben/annehmen | assign / accept an order | давати / приймати замовлення
		3 Ich möchte mich vorstellen
die Buchhaltung (Sg.) | accounting | бухгалтерія
auf jdn. zukommen | approach someone | звертатися до когось
der Personalchef; -s / die Personalchefin; -nen | HR manager | керівник персоналу
die Fachhochschule; -n (FH) | university of applied sciences | університет прикладних наук
der Versand (Sg.) | shipping | відправлення
das Personal (Sg.) | staff | персонал
		4 Das Protokoll
das Protokoll; -e | minutes / protocol | протокол
der Tagesordnungspunkt; -e (der TOP; -s) | agenda item | пункт порядку денного
das Buffet; -s | buffet | шведський стіл
die Servicekraft; -e | service staff | обслуговуючий персонал
präzise | precise | точний
sachlich | objective / factual | об’єктивний
neutral | neutral | нейтральний
ausschließlich | exclusively | виключно
das Gerücht; -e | rumor | чутка
die Sitzung; -en | meeting | засідання
mithilfe (von + D.) | with the help of | за допомогою
der Entwurf; -e | draft | проект
einen Entwurf erstellen | create a draft | створювати проект
der Flyer; - | flyer | листівка
die Visitenkarte; -n | business card | візитка
die Aushilfskraft; -e | temporary worker | тимчасовий працівник
die Sommersaison (Sg.) | summer season | літній сезон
		5 Ein Teamgespräch führen
abstimmen (über + A.) | coordinate / vote on | узгоджувати
problematisch | problematic | проблемний
		6 Welche Teamrolle haben Sie?
das Ganze (Sg.) | the whole | ціле
ausmachen | make up / determine | визначати
die Schulung; -en | training | навчання
sich aufteilen (in + D.) | divide into | ділитися на
komplex | complex | складний
per Zufall | by chance | випадково
ein Ergebnis erzielen | achieve a result | досягати результату
die Kompetenz; -en | competence | компетенція
der Macher; - / die Macherin; -nen | doer / go-getter | людина, що робить
ohne Rücksicht auf Verluste | regardless of losses | не зважаючи на втрати
die Abwechslung; -en | variety | різноманітність
sich festlegen lassen (auf + A.) | commit to | брати на себе зобов’язання
improvisieren | improvise | імпровізувати
die Flexibilität (Sg.) | flexibility | гнучкість
die Experimentierfreude (Sg.) | willingness to experiment | прагнення експериментувати
der/die Konservative; -n | conservative | консервативний
über Bord werfen | throw overboard | відмовитися
die Ausdauer (Sg.) | perseverance | витривалість
die Treue (Sg.) | loyalty | вірність
einen Gegenpol bilden (zu + D.) | form a counterbalance (to) | формувати противагу
etwas in die Tat umsetzen | put something into practice | реалізувати
systematisch | systematic | систематичний
das Faktenwissen (Sg.) | factual knowledge | фактичні знання
die Statistik; -en | statistics | статистика
detailliert | detailed | детальний
fasziniert (von + D.) | fascinated (by) | захоплений
die Realität aus den Augen verlieren | lose sight of reality | втратити зв’язок з реальністю
formal | formal | формальний
die Vorgabe; -n | specification | вимога
ignorieren | ignore | ігнорувати
die Neugier (Sg.) | curiosity | допитливість
die Innovation; -en | innovation | інновація
das Wachstum (Sg.) | growth | ріст
konstruktiv – destruktiv | constructive – destructive | конструктивний – деструктивний
chaotisch – strukturiert | chaotic – structured | хаотичний – структурований
traditionell – innovativ | traditional – innovative | традиційний – інноваційний
gefühlsbetont – rational | emotional – rational | емоційний – раціональний
voreilig | hasty | поспішний
motivierend – demotivierend | motivating – demotivating | мотивуючий – демотивуючий
provozierend – ausgleichend | provocative – balancing | провокативний – врівноважуючий
pessimistisch – optimistisch | pessimistic – optimistic | песимістичний – оптимістичний
einen Einblick bekommen (in + A.) | get an insight (into) | отримати уявлення
jdn. freistellen (für + A.) | exempt someone (for) | звільнити від роботи
	Kapitel 4 Tourismus
		1 Kundenwünsche
die Pauschalreise; -n | package tour | пакетний тур
die Vollpension (Sg.) | full board | повний пансіон
alles inklusive | all-inclusive | усе включено
die Hotelanlage; -n | hotel complex | готельний комплекс
die Reisegruppe; -n | tour group | туристична група
		2 Reiseangebote
das Angebot; -e | offer / deal | пропозиція
sich erholen | relax / recuperate | відпочивати
der Frühbucherrabatt; -e | early booking discount | знижка за раннє бронювання
sich entscheiden | decide | вирішувати
die Halbpension (Sg.) | half board | півпансіон
das Erlebnis; -se | experience | враження
sensationell | sensational | сенсаційний
der Haken; - | hook / drawback | застереження
die Gebühr; -en | fee | плата
versteckte Gebühren | hidden fees | приховані платежі
die Anzahlung; -en | deposit | аванс
Ich wäre Ihnen dankbar … | I would be grateful … | Я був би вдячний …
erreichbar | reachable / available | доступний
		3 Verträge sind wichtig
die Reiserücktrittsversicherung; -en | travel cancellation insurance | страховка від скасування поїздки
eine Versicherung abschließen | take out insurance | оформляти страховку
die Kosten (Pl.) | costs | витрати
für die Kosten aufkommen | cover the costs | покривати витрати
die allgemeinen Geschäftsbedingungen (AGBs) | general terms and conditions | загальні умови
(eine Reise) stornieren | cancel (a trip) | скасувати поїздку
buchen | book | бронювати
im Krankheitsfall | in case of illness | у разі хвороби
		4 Arbeiten, wenn andere Urlaub machen
aufwachsen (in + D.) | grow up (in) | рости
der Master; - | master’s degree | магістратура
sich spezialisieren (auf + A.) | specialize (in) | спеціалізуватися
betreuen | supervise / look after | доглядати / супроводжувати
unterwegs sein | be on the move | бути в дорозі
zur Verfügung stehen | be available | бути у розпорядженні
anspruchsvoll | demanding | вимогливий
das feste Einkommen | fixed income | стабільний дохід
die Geschäftsleitung; -en | management | керівництво
reibungslos | smooth / seamless | безперешкодний
das Check-in/out | check-in/out | реєстрація / виїзд
die Koordination (Sg.) | coordination | координація
abwechslungsreich | varied / diverse | різноманітний
begeistert | enthusiastic | захоплений
die Begeisterung (Sg.) | enthusiasm | захоплення
das Grundgehalt; -er | base salary | базова зарплата
die Aufstiegsmöglichkeit; -en | promotion opportunity | можливість підвищення
die Kreativität (Sg.) | creativity | креативність
die Anerkennung (Sg.) | recognition | визнання
todmüde | dead tired | дуже втомлений
die Bezahlung (Sg.) | payment | оплата
		5 Faris will beruflich weiterkommen
die Anforderung; -en | requirement | вимога
die Team- und Kommunikationsfähigkeit | team and communication skills | командні та комунікаційні навички
die Bewerbungsunterlagen (Pl.) | application documents | документи для подачі на роботу
vollständig | complete | повний
		6 Berufsbild Reiseleiter/in – eine Satire
das Berufsbild; -er | job profile | опис професії
die Satire; -n | satire | сатира
die Umbuchung; -en | rebooking | зміна бронювання
selbstverständlich | of course / naturally | звичайно
ausgebucht | fully booked | повністю заброньовано
hoffnungslos | hopeless | безнадійний
überbucht | overbooked | перевищена бронь
zaubern | do magic | чарувати
in der Lage sein | be able to | бути здатним
die Rückkehr (Sg.) | return | повернення
die Presse (Sg.) | press | преса
körperlich | physical | фізичний
psychisch | psychological | психічний
therapeutisch | therapeutic | терапевтичний
alles im Griff haben | have everything under control | мати все під контролем
der Sinn des Lebens | meaning of life | сенс життя
dienen | serve | служити
gut umgehen können (mit + D.) | be able to handle well | вміти добре справлятися
die Präsentation; -en | presentation | презентація
der Vortrag; -e | lecture / talk | доповідь
sicherlich | certainly | безумовно
abschließend | finally / concluding | підсумково
die Aufmerksamkeit | attention | увага
sich lohnen | be worthwhile | варто
verzweifelt | desperate | відчайдушний
die Verspätung; -en | delay | затримка
der Anschlusszug; -e | connecting train | поїзд-пересадка
die Kündigungsfrist; -en | notice period | строк попередження про звільнення
die Arbeitsbedingungen (Pl.) | working conditions | умови праці
die Gewerkschaft; -en | trade union | профспілка
beitreten, trat bei, ist beigetreten | join | вступати
jmd. beraten | advise someone | консультувати
	Kapitel 5 Aktiv im Handwerk
		1 Handwerkliche Berufe
(Boden/Stromleitungen) verlegen | lay (floor / electrical lines) | укладати (підлогу / електропроводку)
nähen | sew | шити
die Dichtung; -en | seal / gasket | ущільнення
auswechseln | replace | замінювати
(eine Steckdose) anbringen | install (a socket) | встановлювати (розетку)
tapezieren | wallpaper | клеїти шпалери
der Schraubenzieher; - | screwdriver | викрутка
Metallstücke zusammenschweißen | weld metal pieces together | зварювати металеві деталі
das Dach decken | roof | накривати дах
Waschbecken montieren | install sink | встановлювати умивальник
die Nadel; -n | needle | голка
der Faden; - | thread | нитка
der Stoff; -e | fabric | тканина
das Maßband; -er | measuring tape | рулетка
defekt | defective | несправний
das Abflussrohr; -e | drainpipe | водостічна труба
		2 Im Baumarkt
der Baumarkt; -e | DIY store | будівельний магазин
der Umgang (mit + D.) | handling (with) | поводження
speziell (für + A.) | specially (for) | спеціально
das Konzept; -e | concept | концепція
für sich sprechen | speak for itself | говорити саме за себе
sich fest etablieren | establish oneself | утвердитися
sich eintragen (für + A.) | register for | зареєструватися
etwas zur Verfügung stellen | provide something | надавати щось
das Niveau; -s | level | рівень
der Fortbildungsbedarf; -e | need for further training | потреба у підвищенні кваліфікації
		3 Das ist schon erledigt!
den Teppich reinigen | clean the carpet | чистити килим
zuschneiden, schnitt zu, hat zugeschnitten | cut | вирізати
das Preisschild; -er | price tag | цінник
erneuern | renew | оновлювати
(einen Fleck) entfernen | remove (a stain) | видаляти (пляму)
		4 Können Sie mir helfen?
der Heimwerker; - / die Heimwerkerin; -nen | DIY enthusiast | майстер-любитель
der Notdienst; -e | emergency service | аварійна служба
(Hilfe) benötigen | need (help) | потребувати (допомоги)
die Montage (Sg.) | assembly / installation | монтаж
die Montageanleitung; -en | installation manual | інструкція монтажу
der Geldbeutel; - (Süddeutsch) | wallet | гаманець
allein klarkommen, kam klar, ist klargekommen | manage on one’s own | справлятися самостійно
der Haupthahn; -e | main valve | головний кран
zudrehen | turn off | закривати
(Wasser) ablassen | drain (water) | зливати воду
das Ventil; -e | valve | клапан
(ein Baby) wickeln | change (a baby’s) diaper | міняти підгузок
abdecken | cover | накривати
die Klappe; -n | flap / hatch | кришка
		5 Das kann man besser machen
die Grundlage legen (für + A.) | lay the foundation (for) | закладати основу
intern – extern | internal – external | внутрішній – зовнішній
der Arbeitsbereich; -e | work area | робоча зона
das Mobbing (Sg.) | bullying | цькування
ausgerechnet dann, wenn … | of all times, when … | саме тоді, коли …
vor Ort | on site | на місці
vereinfachen | simplify | спрощувати
verbilligen | reduce the cost | здешевлювати
die Instandhaltung (Sg.) | maintenance | обслуговування
die Wartung (Sg.) | servicing | технічне обслуговування
senken | reduce | знижувати
die Eingangsbestätigung; -en | confirmation of receipt | підтвердження отримання
sorgfältig | carefully | ретельно
(einen Vorschlag) umsetzen | implement (a proposal) | реалізувати пропозицію
		6 Die Zukunft des Handwerks
unterkommen (in + D.) | find accommodation / get a place (in) | розміститися
unternehmen, unternahm, hat unternommen | undertake | здійснювати
sich fit machen (für + A.) | prepare oneself (for) | готувати себе
die duale Ausbildung | dual training / apprenticeship | дуальна освіта
durchlaufen, durchlief, hat durchlaufen | go through | проходити
einen guten Ruf haben | have a good reputation | мати хорошу репутацію
der Ausbildungsbetrieb; -e | training company | навчальне підприємство
die Berufsschule; -n | vocational school | професійна школа
der Schulabgänger; - / die Schulabgängerin; -nen | school leaver | випускник школи
durchführen | carry out / execute | проводити
etwas überdenken | reconsider something | переглядати
sich überzeugen (von + D.) | convince oneself | переконатися
der/die Geflüchtete; -n | refugee | біженець
jdm. etwas ermöglichen | enable someone to do something | давати можливість
nachhaltig | sustainable | стійкий / сталий
sanieren | renovate / refurbish | ремонтувати
umgehen (mit + D.). ging um, ist umgegangen | handle / deal with | поводитися з
eingeschränkt | limited | обмежений
überlaufen, lief über, ist übergelaufen | overflow | переливатися
unpraktisch | impractical | непрактичний
digital | digital | цифровий
etw. umgehen, umging, hat umgangen | bypass something | обходити
die Messung; -en | measurement | вимірювання
die Auswirkung; -en | effect / impact | вплив
Auswirkungen haben (auf + A.) | have effects (on) | мати вплив на
widersprechen, widersprach, hat widersprochen | contradict | заперечувати
jdn. unter Druck setzen | put someone under pressure | тиснути на когось
das Design; -s | design | дизайн
umarmen | hug / embrace | обіймати
die Kosten überschlagen (für + A.) | estimate costs (for) | підраховувати витрати
	Kapitel 6 Arbeit in der Metropolregion
		1 Eine Region in Südwestdeutschland
die Region; -en | region | регіон
das Industrieunternehmen; - | industrial company | промислове підприємство
der öffentliche Nahverkehr (Sg.) | public transport | громадський транспорт
der Aspekt; -e | aspect | аспект
die Werkstatt; -en | workshop | майстерня
das Rathaus; -er | town hall | ратуша
		2 Eine Reportage
der Lottogewinn; -e | lottery win | виграш у лотерею
wirtschaftlich | economic | економічний
sich Gedanken machen (über + A.) | think about | думати про
demografisch | demographic | демографічний
die Entwicklung; -en | development | розвиток
einheimisch | native / local | місцевий
die Bevölkerung; -en | population | населення
die Zuwanderung; -en | immigration | імміграція
die duale Hochschule; -en | dual university | дуальний університет
die Fahrzeit; -en | travel time | час у дорозі
in Kauf nehmen | accept / put up with | погоджуватися на
das Freibad; -er | outdoor swimming pool | відкритий басейн
vielfältig | diverse | різноманітний
das Freizeitangebot; -e | leisure facilities / activities | пропозиції для відпочинку
knapp sein/werden | be scarce / become scarce | бути обмеженим
die Kosten tragen (für + A.) | bear the costs (for) | покривати витрати
Einfluss nehmen (auf + A.) | exert influence (on) | впливати на
jmd. Hilfe leisten | provide someone with help | надавати допомогу
etwas kostet Zeit und Kraft | something costs time and effort | щось потребує часу та сил
jmd. unterstützen | support someone | підтримувати когось
ein Gespräch führen | conduct a conversation | вести розмову
die Studiengebühren (Pl.) | tuition fees | плата за навчання
der Arbeitsmarkt; -e | labor market | ринок праці
		3 Haki Jelimo bewirbt sich
das duale Studium | dual study program | дуальне навчання
die Ausbildungsdauer (Sg.) | duration of training | тривалість навчання
mithilfe von | with the help of | за допомогою
überzeugt (von + D.) | convinced (of) | переконаний
beiliegende Zeugnisse | attached certificates | додані свідоцтва
der Schwerpunkt; -e | focus / emphasis | спеціалізація
die Semesterferien (Pl.) | semester holidays | семестрові канікули
der Bereich; -e | area / field | сфера
der Bedarf (Sg.) | need / demand | потреба
der Markt; -e | market | ринок
beruflich/ehrenamtlich tätig sein | work professionally / voluntarily | працювати професійно / добровільно
überdurchschnittlich – unterdurchschnittlich | above average – below average | вище середнього – нижче середнього
		4 Haki hat die Stelle bekommen!
der Arbeitsvertrag; -e | employment contract | трудовий договір
die Laufzeit; -en | duration / term | строк
die Laufzeit des Vertrags | contract term | термін дії договору
der Vertragsbeginn (Sg.) | start of contract | початок дії договору
innerhalb – außerhalb | within – outside | всередині – поза
die Vergütung; -en | remuneration / pay | винагорода
betragen, betrug, hat betragen | amount to | становити
betrieblich | operational / company-related | виробничий / корпоративний
sich verpflichten (zu +D.) | commit oneself (to) | зобов’язуватися
das Ausscheiden (Sg.) | leaving / termination | вихід / завершення
die Bescheinigung; -en | certificate | довідка
die Änderung; -en | change / amendment | зміна
		5 Haki lernt die Region kennen
die Körperpflege (Sg.) | personal hygiene | догляд за тілом
wetterfest | weatherproof | захищений від погоди
geheimnisvoll | mysterious | таємничий
weltberühmt | world-famous | всесвітньо відомий
die Ruine | ruin | руїна
altersmäßig | regarding age | за віком
die Begrenzung; -en | limitation / boundary | обмеження
sich richten (an + A.) | be aimed at | орієнтуватися на
die Überbrückung; -en | bridging / interim | тимчасове вирішення
der Druck (Sg.) | pressure | тиск
das Motiv; -e | motive | мотив
die Methode; -n | method | метод
wertvoll – wertlos | valuable – worthless | цінний – безцінний
	Kapitel 7 Berufe im Gesundheitswesen
		1 Was bedeutet für Sie Gesundheit?
die Grippe (Sg.) | flu / influenza | грип
der Durchfall (Sg.) | diarrhea | діарея
der Krebs (Sg.) | cancer | рак
die Arznei; -en | medicine | ліки
die Kapsel; -n | capsule | капсула
das Antibiotikum, Antibiotika | antibiotic | антибіотик
der Masseur; -e / die Masseurin; -nen | masseur / masseuse | масажист / масажистка
der Logopäde; -n / die Logopädin; -nen | speech therapist | логопед
der Orthopäde; -en / die Orthopädin; -nen | orthopedist | ортопед
die Diagnose; -n | diagnosis | діагноз
jemandem assistieren | assist someone | допомагати комусь
anleiten | instruct / guide | керувати / наставляти
jemandem etwas verschreiben | prescribe something to someone | призначати комусь
		2 Die Pflegerin Wanda Semionova hat Rückenschmerzen. Was kann sie tun?
fördern | promote / support | сприяти
ansteckend | contagious | заразний
die Früherkennung (Sg.) | early detection | раннє виявлення
der Gesundheitscheck; -s | health check | медичний огляд
der Impfpass; -e | vaccination card | картка щеплень
die Vorsorge (Sg.) | preventive care | профілактика
die Übertreibung; -en | exaggeration | перебільшення
psychisch | psychological | психічний
das Gleichgewicht (Sg.) | balance | рівновага
die Basis (Sg.) | basis / foundation | основа
		3 Ein Interview mit einem Krankenpfleger
akut | acute | гострий
ambulant | outpatient | амбулаторний
stationär | inpatient | стаціонарний
die Lungenentzündung; -en | pneumonia | пневмонія
der Pflegebericht; -e | care report | звіт про догляд
die Übergabe; -n | handover | передача
das Hospiz; -e | hospice | хоспіс
angewiesen sein (auf + A.) | be dependent (on) | бути залежним
verpflichtend | mandatory | обов’язковий
beabsichtigen | intend | мати намір
befürchten | fear | боятися
bedauern | regret | шкодувати
liebevoll | loving / caring | турботливий
Wert legen (auf + A.) | value (something) | надавати значення
		4 Ein Arbeitstag in der Pflege
die Tour; -en | round / shift | обхід / зміна
der Kreislauf (Sg.) | circulation | кровообіг
der Blutdruck (Sg.) | blood pressure | кров’яний тиск
der Puls (Sg.) | pulse | пульс
der Vorrat; -e | supply | запас
aggressiv | aggressive | агресивний
die Pflegekraft; -e | caregiver / nurse | медсестра / доглядальник
etwas in den Griff bekommen | get something under control | справитися з чимось
		5 Der Pflegebericht
die Fakten (Pl.) | facts | факти
subjektiv ≠ objektiv | subjective ≠ objective | суб’єктивний ≠ об’єктивний
die Einschätzung; -en | assessment | оцінка
jemanden antreffen | meet someone | зустріти когось
klagen (über + A.) | complain (about) | скаржитися
der Schwindel (Sg.) | dizziness | запаморочення
jemanden verständigen | inform someone | повідомити когось
eintreffen | arrive | прибувати
jemanden motivieren (zu + D.) | motivate someone (to) | мотивувати когось
		6 Vereinfache dein Leben
die Stufe; -n | step / level | рівень / щабель
durchschnittlich | average | середній
die Klarheit (Sg.) | clarity | ясність
das Durcheinander (Sg.) | mess / confusion | безлад
der Kontostand; -e | account balance | баланс рахунку
die Schulden (Pl.) | debts | борги
