org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
la sapeur-pompier | firefighter | пожежник
le pêcheur | fisherman | рибалка
la pêcheuse | fisherman | рибалка
l'informaticien; m | IT worker | IT-працівник
l'informaticienne; f | IT worker | IT-працівник
le menuisier | joiner | столяр; тесля
la menuisière | joiner | столяр; тесля
le journaliste | journalist | журналіст
la journaliste | journalist | журналіст
l'avocat; m | lawyer | юрист
l'avocate; f | lawyer | юрист
le mécanicien | mechanic | механік
la mécanicienne | mechanic | механік
l'infirmier; m | nurse | медсестра
l'infirmière; f | nurse | медсестра
l'employé de bureau; m | office worker | офісний працівник
l'employée de bureau; f | office worker | офісний працівник
le plombier | plumber | водопровідник; сантехнік
la plombière | plumber | водопровідник; сантехнік
le policier | police officer | поліцейський
la policière | police officer | поліцейський
le facteur | postal worker | поштовий працівник
la factrice | postal worker | поштовий працівник
le marin | sailor | моряк
la femme marin | sailor | моряк
le vendeur | salesperson | продавець
la vendeuse | salesperson | продавець
le scientifique | scientist | науковець
la scientifique | scientist | науковець
le soldat | soldier | солдат
la soldate | soldier | солдат

le professeur | teacher | викладач; учитель
la professeure | teacher | викладач; учитель
le vétérinaire | vet | ветеринар
la vétérinaire | vet | ветеринар
le serveur | waiter | офіціант
la serveuse | waitress | офіціантка
Je travaille à / pour / dans... | I work at / for / in... | Я працюю в...
le commerce | business | бізнес
la compagnie | company | компанія
le chantier | construction site | будівельний майданчик
l'usine; f | factory | завод
le gouvernement | government | уряд
l'hôpital; m | hospital | лікарня
l'hôtel; m | hotel | готель; в готелі
le bureau | office | офіс
le restaurant | restaurant | ресторан
l'école; f | school | школа
le magasin | shop | магазин


l'heure | time | час
le matin | morning | ранок
l'après-midi; m | afternoon | після обіду
le soir | evening | вечір
la nuit | night | ніч
le midi | midday | полудень
minuit; m | midnight | опівночі
aujourd'hui | today | сьогодні
ce soir | tonight | сьогодні ввечері
demain | tomorrow | завтра
hier | yesterday | вчора
du matin | a.m. | ранку
de l'après-midi | p.m. | вечора
du soir | p.m. | вечора
Quelle heure est-il ? | What time is it? | Котра година?
Il est neuf heures. | It's nine o'clock. | Зараз дев'ята година.
Il est neuf heures dix. | It's ten past nine. | Зараз дев'ята десять.
Il est neuf heures et quart. | It's quarter past nine. | Зараз чверть на десяту.
Il est neuf heures vingt-cinq. | It's 25 past nine. | Зараз двадцять п'ять на десяту.
Il est neuf heures et demie. | It's half past nine. | Зараз пів на десяту.
Il est dix heures moins vingt. | It's 20 to ten. | Без двадцяти десята.

Il est dix heures moins le quart. | It's quarter to ten. | За чверть десята.
Il est dix heures moins cinq. | It's five to ten. | За п'ять десята.
Il est dix-sept heures trente. | It's 17:30. | Зараз 17:30.
Quand...? | When...? | Коли...?
... dans 60 secondes / deux minutes. | ... in 60 seconds / two minutes. | ... за 60 секунд / дві хвилини.
... dans un quart d'heure / une demiheure / une heure. | ... in quarter of an hour / half an hour / an hour. | ... через чверть години / півгодини / годину.
tôt | early | рано
en retard | late | пізно; затримується
bientôt | soon | скоро
plus tard | later | пізніше
maintenant | now | зараз
avant | before | раніше
après | after | після

les jours, les mois, les saisons | days, months, and seasons | дні, місяці та пори року
lundi | Monday | понеділок
mardi | Tuesday | вівторок
mercredi | Wednesday | середа
jeudi | Thursday | четвер
vendredi | Friday | п'ятниця
samedi | Saturday | субота
dimanche | Sunday | неділя
janvier | January | січень
février | February | лютий
mars | March | березень
avril | April | квітень
mai | May | травень
juin | June | червень
juillet | July | липень
août | August | серпень
septembre | September | вересень
octobre | October | жовтень
novembre | November | листопад
décembre | December | грудень

le jour | day | день
le week-end | weekend | вихідні
la semaine | week | тиждень
les quinze jours; mpl | fortnight | два тижні
le mois | month | місяць
l'année; f | year | рік
la décennie | decade | десятиліття
quotidien | daily | щодня
hebdomadaire | weekly | щотижня
tous les quinze jours | fortnightly | кожних два тижні
mensuel | monthly | щомісяця
annuel | yearly | щорічно
les lundis | on Mondays | в понеділок
tous les dimanches | every Sunday | щонеділі
jeudi dernier | last Thursday | минулого четверга
vendredi prochain | next Friday | наступної п'ятниці
il y a quinze jours | the week before | позаминулого тижня
dans deux semaines | the week after | тиждень після наступного
en février | in February | в лютому
en 2019 | in 2019 | у 2019 році
dans les années 80 | in the '80s | у 80-ті роки
le printemps | spring | весна
l'été; m | summer | літо
l'automne; m | autumn | осінь
l'hiver; m | winter | зима
au printemps | in spring | весною
en hiver | in winter | взимку

le temps | weather | погода
Quel temps fait-il ? | How's the weather? | Як погода?
Quelles sont les prévisons météo pour aujourd'hui / demain ? | What's the forecast for today / tomorrow? | Який прогноз погоди на сьогодні / завтра?
Est-ce qu'il fait chaud / froid ? | How warm / cold is it? | Чи тепло / холодно?
Est-ce qu'il va pleuvoir ? | Is it going to rain? | Чи буде дощ?
Quelle belle journée ! | What a lovely day! | Такий прекрасний день!
Quel mauvais temps ! | What awful weather! | Яка жахлива погода!
Il y a du soleil. | It's sunny. | Сонячно.
C'est nuageux / brumeux. | It's cloudy / misty. | Хмарно / туманно.

Il y a du brouillard. | It's foggy. | Це туман.
Il gèle. | It's freezing. | Морозно.
Il pleut / neige. | It's raining / snowing. | Йде дощ / сніг.
Il y a du vent. | It's windy. | Вітряно.
Il y a de l'orage. | It's stormy. | Це штормово.
Le temps est changeant. | It's changeable. | Це мінливо.
Il fait... | It is... | Це є...
beau | nice | приємно
mauvais | horrible | погано
chaud | hot | гарячий
chaud | warm | теплий
doux | mild | помірний
frais | cool | прохолодний
pluvieux | wet | мокрий
humide | humid | вологий
le soleil | sun | сонце
la pluie | rain | дощ
la neige | snow | сніг
la grêle | hail | град
le vent | wind | вітер
le coup de vent | gale | буря
la brume | mist | серпанок
le brouillard | fog | туман
le tonnerre | thunder | грім
l'éclair; m | lightning | блискавка
l'orage; m | thunderstorm | гроза
le nuage | cloud | хмара
la température | temperature | температура

les nombres | numbers | цифри
un | 1 | один
deux | 2 | два
trois | 3 | три
quatre | 4 | чотири
cinq | 5 | п'ять
six | 6 | шість
sept | 7 | сім
huit | 8 | вісім
neuf | 9 | дев'ять
dix | 10 | десять
onze | 11 | одинадцять
douze | 12 | дванадцять
treize | 13 | тринадцять
quatorze | 14 | чотирнадцять
quinze | 15 | п'ятнадцять
seize | 16 | шістнадцять
dix-sept | 17 | сімнадцять
dix-huit | 18 | вісімнадцять
dix-neuf | 19 | дев'ятнадцять
vingt | 20 | двадцять
trente | 30 | тридцять
quarante | 40 | сорок
cinquante | 50 | п'ятдесят
soixante | 60 | шістдесят
soixante-dix | 70 | сімдесят
quatre-vingts | 80 | вісімдесят
quatre-vingt-dix | 90 | дев'яносто
cent | 100 | сто
mille | 1 000 | тисяча
million | 1 000 000 | мільйон

	les transports | transport
les transports | transport | транспортні засоби
l'hélicoptère; m | helicopter | вертоліт
le rotor | rotor | ротор
la pale | blade | лопаті ротора
le nez | nose | ніс
le cockpit | cockpit | кабіна
la queue | tail | хвіст

la rue | street | вулиця
le conducteur | driver | водій
la conductrice | driver | водій
le passager | passenger | пасажир
la passagère | passenger | пасажир
le piéton | pedestrian | пішохід
la piétonne | pedestrian | пішохід
le trafic | traffic | трафік
l'embouteillage; m | traffic jam | затор
l'heure de pointe; f | rush hour | година пік
les transports en commun; mpl | public transport | громадський транспорт
le taxi | taxi | таксі
la station de taxis | taxi rank | стоянка таксі
les indications; fpl | directions | напрямки
l'itinéraire; m | route | маршрут
le panneau de signalisation | road sign | дорожній знак
marcher | to walk | йти
conduire | to drive | їхати
revenir | to return | повертатися
traverser | to cross | перетинати
tourner | to turn | розвернутися
faire la navette | to commute | їздити на роботу
la carte | map | карта
le billet | ticket | квиток
l'horaire; m | timetable | розклад

la voiture | car | автомобілем
le monospace | people carrier | мікроавтобус
le SUV | SUV | позашляховик
le camping-car | motorhome | будинок на колесах; кемпер
la caravane | caravan | караван
la décapotable | convertible | кабріолет
le siège du passager | passenger seat | пасажирське сидіння

la place du conducteur | driver's seat | водійське сидіння
le siège arrière | back seat | заднє сидіння
le siège enfant | child seat | дитяче крісло
la galerie | roof rack | багажник на даху
le toit ouvrant | sunroof | люк
le moteur | engine | двигун; машина
la batterie | battery | акумулятор
le frein | brake | гальмо
l'accélérateur; m | accelerator | педаль газу
la climatisation | air conditioning | кондиціонер
l'embrayage; m | clutch | зчеплення
le régulateur de vitesse | cruise control | круїз-контроль
le pot d'échappement | exhaust (pipe) | вихлопна труба
le réservoir de carburant | fuel tank | бензобак
la boîte de vitesses | gearbox | механічна коробка передач
l'alcootest; m | Breathalyser® | спиртометр
automatique | automatic | автоматичний
électrique | electric | електричний
hybride | hybrid | гібридний автомобіль
démarrer | to start the engine | запустити двигун
freiner | to brake | гальмувати
dépasser | to overtake | обганяти
garer | to park | парк
faire marche arrière | to reverse | скинути значення за замовчуванням
ralentir | to slow down | загальмувати
être en excès de vitesse | to speed | перевищити швидкість
s'arrêter | to stop | зупинитися

le coffre | boot | багажник
le toit | roof | дах
la vitre | window | вікно
la roue | wheel | колесо
la portière | door | двері
l'aile; f | wing | крило
le pneu | tyre | автомобільна шина; шина колеса
le capot | bonnet | капот
le pare-brise | windscreen | лобове скло

l'essuie-glace; m | windscreen wiper | склоочисник
le rétroviseur extérieur | wing mirror | бокове дзеркало
le phare | headlight | фара
le pare-chocs | bumper | бампер
la plaque d'immatriculation | number plate | номерний знак
le clignotant | indicator | сигнал повороту

le tableau de bord | dashboard | приладова панель
la jauge d'essence | fuel gauge | покажчик палива
le levier de vitesse | gearstick | важіль коробки передач
la boîte à gants | glove compartment | бардачок
le frein à main | handbrake | ручне гальмо
l'appuie-tête; m | headrest | підголівник
l'allumage; m | ignition | запалювання
le rétroviseur | rearview mirror | дзеркало заднього виду
le GPS | sat nav | навігаційна система
la ceinture de sécurité | seatbelt | ремінь безпеки
le compteur de vitesse | speedometer | спідометр
le volant | steering wheel | кермо

la conduite | driving | водіння
la route à quatre voies | dual carriageway | швидкісна дорога
la route à voie unique | single-track road | односмугова сільська дорога
le macadam | tarmac® | асфальт
le coin | corner | кут
la sortie | exit | вихід; виїзд
la bretelle | slip road | під'їзна дорога

le bas-côté | layby | стоянка
l'aire de service; f | services | зона обслуговування
la limitation de vitesse | speed limit | обмеження швидкості
la déviation | diversion | об'їзд
le permis de conduire | driving licence | посвідчення водія
la carte grise | car registration document | документ про реєстрацію транспортного засобу
l'assurance automobile; f | car insurance | страхування автотранспорту
la location de voiture | car hire / rental | прокат автомобіля
l'essence sans plomb; f | unleaded petrol | неетилований бензин
le diesel | diesel | дизель
les travaux; mpl | roadworks | дорожні роботи
la place de parking handicapé | accessible parking space | місце для паркування інвалідів
le pont | bridge | міст
le parking | car park | автостоянка
la station de lavage | car wash | автомийка
la pompe à essence | fuel pump | паливний насос
le carrefour | junction | переправа
le bord du trottoir | kerb | бордюр
la voie | lane | провулок; трек; трек
le passage à niveau | level crossing | залізничний переїзд
l'autoroute; f | motorway | шосе
le parcmètre | parking meter | паркомат
la place de parking | parking space | місце для паркування
le trottoir | pavement | тротуар
la station-service | petrol station | автозаправна станція
le nid-de-poule | pothole | вибоїна
la route | road | вулиця
le rond-point | roundabout | круговий рух
le radar | speed camera | камера контролю швидкості
le péage | toll point | плата за проїзд; платний пункт
le cône de signalisation | traffic cone | дорожній конус
les feux; mpl | traffic lights | світлофор
l'agent de la circulation; m /; f | traffic warden | працівник автополіції
le tunnel | tunnel | тунель
le passage piéton | zebra crossing | пішохідний перехід

des problèmes de voiture | car trouble | проблеми з автомобілем
l'accident; m | accident | нещасний випадок
la panne | breakdown | поломка
la collision | collision | зіткнення
le pneu à plat | flat tyre | спущена шина
tomber en panne | to break down | зламатися
avoir un accident | to have an accident | потрапити в аварію
avoir un pneu à plat | to have a flat tyre | мати спущене колесо
changer le pneu | to change a tyre | поміняти шину
remorquer | to tow | відбуксирувати
l'airbag; m | airbag | подушка безпеки
l'antigel; m | antifreeze | антифриз
la borne d'urgence | emergency phone | екстрений телефон
le garage | garage | гараж
le gilet de sécurité | hi-viz vest | попереджувальний жилет
le cric | jack | домкрат
les câbles de démarrage; mpl | jump leads | з'єднувальні кабелі
le mécanicien | mechanic | механік
la mécanicienne | mechanic | механік
les chaînes à neige; fpl | snow chains | ланцюги протиковзання
la roue de secours | spare wheel | запасне колесо
la dépanneuse | tow truck | евакуатор
le triangle de présignalisation | warning triangle | попереджувальний трикутник

le bus | bus | автобус
la ligne de bus | bus route | автобусна лінія
la voie réservée aux bus | bus lane | автобусна смуга
la gare routière | bus station | автовокзал
la carte de bus | bus pass | квиток на автобус
le prix | fare | вартість проїзду
le plein tarif | full fare | повна вартість проїзду
le demi-tarif | half fare | половина вартості проїзду
la réduction | concession | знижка
l'accessibilité aux handicapés; f | wheelchair access | доступ для інвалідних візків

le bus de nuit | night bus | нічний автобус
le car de ramassage scolaire | school bus | шкільний автобус
la navette de l'aéroport | airport bus | автобус до аеропорту
l'autocar touristique; m | tour bus | туристичний автобус
prendre le bus | to catch the bus | сісти на автобус
le bus | bus | автобусом; автобус
l'Abribus®; m | bus shelter | автобусна зупинка
l'arrêt de bus; m | bus stop | автобусна зупинка
le car | coach | тренер; вагон; тренер
le minibus | minibus | мікроавтобус
le trolleybus | trolley bus | тролейбус

le vélo | bicycle | велосипед
le cycliste | cyclist | велосипедист
la cycliste | cyclist | велосипедист
le VTT | mountain bike | гірський велосипед
le vélo de route | road bike | гоночний велосипед
le râtelier à bicyclettes | bike stand | стійка для велосипеда
le porte-vélos | bike rack | багажник для велосипеда
la piste cyclable | cycle lane / path | велосипедна доріжка
le gilet de sécurité | reflective vest | попереджувальний жилет
le siège enfant | child seat | дитяче крісло
la trousse crevaison | puncture repair kit | набір для ремонту проколів
faire du vélo | to cycle | кататись на велосипеді
faire une promenade en vélo | to go for a bike ride | поїхати на велосипедну прогулянку
crever | to get a puncture | проколоти

la sonnette | bell | дзвоник
l'antivol; m | bike lock | замок велосипеда
le phare avant | front light | фара
le casque | helmet | шолом
la pompe à vélo | pump | велосипедний насос
le réflecteur | reflector | рефлектор

le frein | brake | гальмо
le guidon | handlebars | кермо
les vitesses; fpl | gears | шестірні
la barre transversale | crossbar | перекладина
la selle | saddle | сідло
le cadre | frame | рама
la pédale | pedal | педаль
la chaîne | chain | ланцюг
le pneu | tyre | автомобільна шина; шина колеса
la roue | wheel | колесо

la moto | motorbike | мотоцикл
le motard | motorcyclist | мотоцикліст
la motarde | motorcyclist | мотоцикліст
la mobylette | moped | мопед
le scooter | scooter | скутер
le réservoir de carburant | fuel tank | бензобак
le guidon | handlebars | кермо
le garde-boue | mudguard | крило
la béquille | kickstand | бічна підставка
le tuyau d'échappement | exhaust pipe | вихлопна труба
les vêtements de moto; mpl | leathers | шкіряний одяг
les bottes; fpl | boots | чоботи
le casque | helmet | шолом
la caméra pour casque | helmet cam | камера шолома
les gants en cuir; mpl | leather gloves | шкіряні рукавички
le blouson de cuir | leather jacket | шкіряна куртка
la moto | motorbike | мотоциклом; мотоцикл

le transport ferroviaire | rail travel | потягом
le réseau ferroviaire | rail network | залізнична мережа
le train à grande vitesse | high-speed train | швидкісний поїзд
le train de passagers | passenger train | пасажирський поїзд
le train de marchandises | freight train | вантажний поїзд
le train-couchettes | sleeper | нічний поїзд
l'espace calme; m | quiet coach | тихий вагон
le wagon | coach | тренер; вагон; тренер
la station de métro | metro station | станція метро
la consigne | left luggage | камера зберігання багажу
la carte de réduction | railcard | квиток на поїзд
le carnet | book of tickets | книга квитків
l'aller simple; m | single ticket | квиток в один кінець
l'aller-retour; m | return ticket | зворотний квиток
le billet électronique | e-ticket | онлайн-квиток
la première classe | first-class | перший клас; пріоритет
la réservation | seat reservation | бронювання місця
changer de train | to change trains | пересідати
composter un billet | to validate a ticket | валідувати квиток
le wagon | carriage | вагон
la couchette | couchette | спальне місце
le tableau des départs | departure board | табло
le garde | guard | службовець залізниці
la garde | guard | службовець залізниці
le TLR | light railway | приміський поїзд
la locomotive | locomotive | локомотив
le porte-bagages | luggage rack | багажна полиця
le métro | metro | метро
le quai | platform | платформа
le porteur | porter | носильник
la porteuse | porter | носильник
la voiture-restaurant | restaurant car | вагон-ресторан
la porte coulissante | sliding doors | розсувні двері
le portillon | ticket barrier | квитковий бар'єр
le guichet automatique | ticket machine | квитковий автомат
le guichet | ticket office | каса
la voie | track | рейки
le train | train | поїзд
le chef de train | train conductor | провідник
la chef de train | train conductor | провідник
le tramway | tram | трамвай
la gare | train station | станція
le composteur de billets | validation machine | машина перевірки

les voyages en avion | air travel | літаком
la compagnie aérienne | airline | авіакомпанія
le terminal | terminal | термінал
Arrivées | Departures | Відбуття
Départs | Departures | Відбуття
les contrôles de sécurité; mpl | security | служба безпеки
le contrôle des passeports | passport control | паспортний контроль
la douane | customs | митне оформлення
la porte | gate | брама
le personnel navigant | cabin crew | стюардеса
le steward | flight attendant | стюард
l'hôtesse; f | flight attendant | стюард
la classe affaires / économique | business / economy class | бізнес / економ клас
le couloir | aisle | коридор; прохід
la tablette | tray table | розкладний стіл
le compartiment à bagages | overhead locker | багажне відділення
la ceinture de sécurité | seatbelt | ремінь безпеки
le gilet de sauvetage | life jacket | рятувальний жилет
le masque à oxygène | oxygen mask | киснева маска
la soute | hold | вантажний трюм
l'aile; f | wing | крило
le moteur | engine | двигун; машина
le fuselage | fuselage | корпус
les bagages enregistrés; mpl | hold luggage | зареєстрований багаж
les bagages en cabine; mpl | cabin baggage | ручний багаж
l'excédent de bagages; m | excess baggage | надлишковий багаж
le bagage à main | hand luggage | ручний багаж
le décalage horaire | jetlag | часовий пояс
s'enregistrer (en ligne) | to check in (online) | зареєструватися (онлайн)
l'avion; m | aeroplane | літак
l'aéroport; m | airport | аеропорт
le retrait des bagages | baggage reclaim | отримання багажу
la carte d'embarquement | boarding card | посадковий талон
la cabine | cabin | кабіна
l'enregistrement; m | check-in desk | стійка реєстрації
le cockpit | cockpit | кабіна
le tableau des départs | departure board | табло
la boutique hors taxes | duty-free shop | магазин безмитної торгівлі
le sac fourre-tout | holdall | дорожня сумка

le chariot à bagages | luggage trolley | багажний візок
le passeport | passport | паспорт
le pilote | pilot | пілот
la pilote | pilot | пілот
la piste | runway | злітно-посадкова смуга
la valise | suitcase | валіза

les voyages en bateau | ferry and boat travel | пором і катер
la traversée en ferry | ferry crossing | поромна переправа
le terminal de ferry | ferry terminal | поромний порт
le pont-garage | car deck | автомобільна палуба
le pont | deck | палуба
l'hublot; m | porthole | ілюмінатор
la cheminée | funnel | димова труба
la proue | bow | носова частина
la poupe | stern | задня частина
le port | port | порт
le port de plaisance | marina | пристань для яхт
la jetée | pier | пірс
le canal | canal | канал
le garde-côte | coastguard | берегова охорона
le canot de sauvetage | lifeboat | рятувальний човен
le capitaine | captain | капітан
la capitaine | captain | капітан
l'équipage; m | crew | екіпаж
le piéton | foot passenger | пішохід
la piétonne | foot passenger | пішохід
monter à bord de | to board | сісти на борт
naviguer | to sail | відпливати; вітрильний спорт
mettre à quai | to dock | пристиковуватись

l'ancre; f | anchor | якір
la bouée | buoy | буй
la passerelle | gangway | трап
le port | harbour | гавань
la jetée | jetty | набережна гавані
la bouée de sauvetage | lifebuoy | рятувальний круг

le gilet de sauvetage | lifejacket | рятувальний жилет
l'écluse; f | lock | шлюз
le mouillage | mooring | причал

la péniche | canal boat | човен каналу
le canoë | canoe | каное
le ferry | ferry | паром
le canot pneumatique | inflatable dinghy | шлюпка
le kayak | kayak | каяк
le paquebot | liner | пасажирське судно
la barque | rowing boat | гребний човен
le voilier | sailing boat | вітрильний човен
le yacht | yacht | яхта

	à la maison | in the home
à la maison | in the home | в будинку
l'immeuble; m | block of flats | житловий будинок
le toit | roof | дах
la fenêtre | window | вікно
le balcon | balcony | балкон

le gîte rural | country cottage | сільський котедж
la maison mitoyenne | terraced house | будинок із верандою
la maison de ville | townhouse | заміський будинок
la villa | villa | вілла
le bâtiment | building | будівля
l'adresse; f | address | адреса
la banlieue | suburb | передмістя
le quartier | district | район
le propriétaire | owner | власник
la propriétaire | owner | власник
le locataire | tenant | орендар
la locataire | tenant | орендар
le voisin | neighbour | сусід
la voisine | neighbour | сусід
le prêt immobilier | mortgage | іпотека
le loyer | rent | орендна плата
le contrat de location | rental agreement | договір оренди
